"Plot Title: Chute04-14-2015"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10643645, SEN S/N: 10643645)","Intensity, Lux (LGR S/N: 10643645, SEN S/N: 10643645)","End Of File (LGR S/N: 10643645, SEN S/N: 10643645)"
1,04/14/15 08:00:00 AM,17.570,44089.2,
2,04/14/15 08:05:00 AM,19.187,602.8,
3,04/14/15 08:10:00 AM,19.377,32.3,
4,04/14/15 08:15:00 AM,19.187,775.0,
5,04/14/15 08:20:00 AM,18.996,581.3,
6,04/14/15 08:25:00 AM,18.711,645.8,
7,04/14/15 08:30:00 AM,18.426,667.4,
8,04/14/15 08:35:00 AM,18.331,1636.1,
9,04/14/15 08:40:00 AM,18.236,1722.2,
10,04/14/15 08:45:00 AM,18.331,183.0,
11,04/14/15 08:50:00 AM,18.521,3272.2,
12,04/14/15 08:55:00 AM,18.901,3100.0,
13,04/14/15 09:00:00 AM,19.187,968.8,
14,04/14/15 09:05:00 AM,18.806,1377.8,
15,04/14/15 09:10:00 AM,19.472,1463.9,
16,04/14/15 09:15:00 AM,19.948,118.4,
17,04/14/15 09:20:00 AM,20.043,419.8,
18,04/14/15 09:25:00 AM,20.043,409.0,
19,04/14/15 09:30:00 AM,20.138,376.7,
20,04/14/15 09:35:00 AM,20.234,366.0,
21,04/14/15 09:40:00 AM,20.329,462.9,
22,04/14/15 09:45:00 AM,20.710,333.7,
23,04/14/15 09:50:00 AM,23.100,1722.2,
24,04/14/15 09:55:00 AM,25.708,8266.7,
25,04/14/15 10:00:00 AM,26.977,1324.0,
26,04/14/15 10:05:00 AM,27.567,10677.8,
27,04/14/15 10:10:00 AM,29.152,549.0,
28,04/14/15 10:15:00 AM,29.953,505.9,
29,04/14/15 10:20:00 AM,29.053,473.6,
30,04/14/15 10:25:00 AM,28.555,2927.8,
31,04/14/15 10:30:00 AM,28.853,3616.7,
32,04/14/15 10:35:00 AM,29.652,6544.5,
33,04/14/15 10:40:00 AM,30.255,495.1,
34,04/14/15 10:45:00 AM,29.652,581.3,
35,04/14/15 10:50:00 AM,28.456,925.7,
36,04/14/15 10:55:00 AM,27.468,193.8,
37,04/14/15 11:00:00 AM,26.683,1636.1,
38,04/14/15 11:05:00 AM,26.390,3444.5,
39,04/14/15 11:10:00 AM,26.000,4994.5,
40,04/14/15 11:15:00 AM,25.805,3961.1,
41,04/14/15 11:20:00 AM,25.902,6200.0,
42,04/14/15 11:25:00 AM,25.708,2755.6,
43,04/14/15 11:30:00 AM,25.610,1894.5,
44,04/14/15 11:35:00 AM,25.513,2066.7,
45,04/14/15 11:40:00 AM,25.416,3272.2,
46,04/14/15 11:45:00 AM,25.610,1722.2,
47,04/14/15 11:50:00 AM,26.097,1356.3,
48,04/14/15 11:55:00 AM,26.292,602.8,
49,04/14/15 12:00:00 PM,26.390,1980.6,
50,04/14/15 12:05:00 PM,26.585,1808.3,
51,04/14/15 12:10:00 PM,26.390,63378.2,
52,04/14/15 12:15:00 PM,23.484,88178.4,
53,04/14/15 12:20:00 PM,23.581,41333.6,
54,04/14/15 12:25:00 PM,23.581,93689.5,
55,04/14/15 12:30:00 PM,23.677,28933.5,
56,04/14/15 12:35:00 PM,23.869,99200.7,
57,04/14/15 12:40:00 PM,23.773,49600.3,
58,04/14/15 12:45:00 PM,23.966,71644.9,
59,04/14/15 12:50:00 PM,23.773,99200.7,
60,04/14/15 12:55:00 PM,24.062,66133.8,
61,04/14/15 01:00:00 PM,24.062,74400.5,
62,04/14/15 01:05:00 PM,24.158,57867.0,
63,04/14/15 01:10:00 PM,24.158,30311.3,
64,04/14/15 01:15:00 PM,23.966,55111.5,
65,04/14/15 01:20:00 PM,24.158,60622.6,
66,04/14/15 01:25:00 PM,24.351,24800.2,
67,04/14/15 01:30:00 PM,24.351,68889.3,
68,04/14/15 01:35:00 PM,23.581,12400.1,
69,04/14/15 01:40:00 PM,24.158,88178.4,
70,04/14/15 01:45:00 PM,24.351,79911.6,
71,04/14/15 01:50:00 PM,24.255,68889.3,
72,04/14/15 01:55:00 PM,24.351,74400.5,
73,04/14/15 02:00:00 PM,24.062,77156.1,
74,04/14/15 02:05:00 PM,23.869,38578.0,
75,04/14/15 02:10:00 PM,22.525,8611.2,
76,04/14/15 02:15:00 PM,22.238,7233.4,
77,04/14/15 02:20:00 PM,22.238,9644.5,
78,04/14/15 02:25:00 PM,22.238,7577.8,
79,04/14/15 02:30:00 PM,22.142,6200.0,
80,04/14/15 02:35:00 PM,22.046,5166.7,
81,04/14/15 02:40:00 PM,21.951,5166.7,
82,04/14/15 02:45:00 PM,21.951,4305.6,
83,04/14/15 02:50:00 PM,21.855,4133.4,
84,04/14/15 02:55:00 PM,21.855,4822.3,
85,04/14/15 03:00:00 PM,21.855,4133.4,
86,04/14/15 03:05:00 PM,21.760,3444.5,
87,04/14/15 03:10:00 PM,21.664,3272.2,
88,04/14/15 03:15:00 PM,21.664,3272.2,
89,04/14/15 03:20:00 PM,21.569,3444.5,
90,04/14/15 03:25:00 PM,21.569,3444.5,
91,04/14/15 03:30:00 PM,21.569,3272.2,
92,04/14/15 03:35:00 PM,21.569,2927.8,
93,04/14/15 03:40:00 PM,21.569,2927.8,
94,04/14/15 03:45:00 PM,21.569,2927.8,
95,04/14/15 03:50:00 PM,21.569,2927.8,
96,04/14/15 03:55:00 PM,21.569,2755.6,
97,04/14/15 04:00:00 PM,21.569,2755.6,
98,04/14/15 04:05:00 PM,21.473,2755.6,
99,04/14/15 04:10:00 PM,21.473,2325.0,
100,04/14/15 04:15:00 PM,21.473,1808.3,
101,04/14/15 04:20:00 PM,21.378,1722.2,
102,04/14/15 04:25:00 PM,21.282,1550.0,
103,04/14/15 04:30:00 PM,21.187,1550.0,
104,04/14/15 04:35:00 PM,21.187,1463.9,
105,04/14/15 04:40:00 PM,21.091,1550.0,
106,04/14/15 04:45:00 PM,21.091,1463.9,
107,04/14/15 04:50:00 PM,20.996,1377.8,
108,04/14/15 04:55:00 PM,20.901,1377.8,
109,04/14/15 05:00:00 PM,20.805,1367.0,
110,04/14/15 05:05:00 PM,20.710,1345.5,
111,04/14/15 05:10:00 PM,20.615,1302.4,
112,04/14/15 05:15:00 PM,20.615,1248.6,
113,04/14/15 05:20:00 PM,20.615,1280.9,
114,04/14/15 05:25:00 PM,20.519,1162.5,
115,04/14/15 05:30:00 PM,20.424,1141.0,
116,04/14/15 05:35:00 PM,20.424,1108.7,
117,04/14/15 05:40:00 PM,20.329,1076.4,
118,04/14/15 05:45:00 PM,20.234,990.3,
119,04/14/15 05:50:00 PM,20.234,936.5,
120,04/14/15 05:55:00 PM,20.138,871.9,
121,04/14/15 06:00:00 PM,20.043,807.3,
122,04/14/15 06:05:00 PM,20.043,753.5,
123,04/14/15 06:10:00 PM,19.948,678.1,
124,04/14/15 06:15:00 PM,19.948,624.3,
125,04/14/15 06:20:00 PM,19.853,581.3,
126,04/14/15 06:25:00 PM,19.758,559.7,
127,04/14/15 06:30:00 PM,19.662,559.7,
128,04/14/15 06:35:00 PM,19.662,473.6,
129,04/14/15 06:40:00 PM,19.567,409.0,
130,04/14/15 06:45:00 PM,19.567,312.2,
131,04/14/15 06:50:00 PM,19.472,215.3,
132,04/14/15 06:55:00 PM,19.472,139.9,
133,04/14/15 07:00:00 PM,19.377,75.3,
134,04/14/15 07:05:00 PM,19.377,32.3,
135,04/14/15 07:10:00 PM,19.282,10.8,
136,04/14/15 07:15:00 PM,19.282,0.0,
137,04/14/15 07:20:00 PM,19.282,0.0,
138,04/14/15 07:25:00 PM,19.187,0.0,
139,04/14/15 07:30:00 PM,19.187,0.0,
140,04/14/15 07:35:00 PM,19.187,0.0,
141,04/14/15 07:40:00 PM,19.187,0.0,
142,04/14/15 07:45:00 PM,19.187,0.0,
143,04/14/15 07:50:00 PM,19.092,0.0,
144,04/14/15 07:55:00 PM,19.092,0.0,
145,04/14/15 08:00:00 PM,19.092,0.0,
146,04/14/15 08:05:00 PM,19.092,0.0,
147,04/14/15 08:10:00 PM,19.092,0.0,
148,04/14/15 08:15:00 PM,19.092,0.0,
149,04/14/15 08:20:00 PM,19.092,0.0,
150,04/14/15 08:25:00 PM,19.092,0.0,
151,04/14/15 08:30:00 PM,19.092,0.0,
152,04/14/15 08:35:00 PM,19.092,0.0,
153,04/14/15 08:40:00 PM,19.092,0.0,
154,04/14/15 08:45:00 PM,19.092,0.0,
155,04/14/15 08:50:00 PM,19.092,0.0,
156,04/14/15 08:55:00 PM,19.092,0.0,
157,04/14/15 09:00:00 PM,19.187,0.0,
158,04/14/15 09:05:00 PM,19.187,0.0,
159,04/14/15 09:10:00 PM,19.187,0.0,
160,04/14/15 09:15:00 PM,19.187,0.0,
161,04/14/15 09:20:00 PM,19.187,0.0,
162,04/14/15 09:25:00 PM,19.092,0.0,
163,04/14/15 09:30:00 PM,19.092,0.0,
164,04/14/15 09:35:00 PM,19.187,0.0,
165,04/14/15 09:40:00 PM,19.187,0.0,
166,04/14/15 09:45:00 PM,19.187,0.0,
167,04/14/15 09:50:00 PM,19.187,0.0,
168,04/14/15 09:55:00 PM,19.187,0.0,
169,04/14/15 10:00:00 PM,19.187,0.0,
170,04/14/15 10:05:00 PM,19.187,0.0,
171,04/14/15 10:10:00 PM,19.282,0.0,
172,04/14/15 10:15:00 PM,19.282,0.0,
173,04/14/15 10:20:00 PM,19.282,0.0,
174,04/14/15 10:25:00 PM,19.282,0.0,
175,04/14/15 10:30:00 PM,19.282,0.0,
176,04/14/15 10:35:00 PM,19.282,0.0,
177,04/14/15 10:40:00 PM,19.282,0.0,
178,04/14/15 10:45:00 PM,19.282,0.0,
179,04/14/15 10:50:00 PM,19.377,0.0,
180,04/14/15 10:55:00 PM,19.282,0.0,
181,04/14/15 11:00:00 PM,19.282,0.0,
182,04/14/15 11:05:00 PM,19.282,0.0,
183,04/14/15 11:10:00 PM,19.377,0.0,
184,04/14/15 11:15:00 PM,19.377,0.0,
185,04/14/15 11:20:00 PM,19.377,0.0,
186,04/14/15 11:25:00 PM,19.282,0.0,
187,04/14/15 11:30:00 PM,19.282,0.0,
188,04/14/15 11:35:00 PM,19.187,0.0,
189,04/14/15 11:40:00 PM,19.187,0.0,
190,04/14/15 11:45:00 PM,19.092,0.0,
191,04/14/15 11:50:00 PM,19.092,0.0,
192,04/14/15 11:55:00 PM,19.092,0.0,
193,04/15/15 12:00:00 AM,18.996,0.0,
194,04/15/15 12:05:00 AM,18.996,0.0,
195,04/15/15 12:10:00 AM,18.996,0.0,
196,04/15/15 12:15:00 AM,18.901,0.0,
197,04/15/15 12:20:00 AM,18.901,0.0,
198,04/15/15 12:25:00 AM,18.901,0.0,
199,04/15/15 12:30:00 AM,18.901,0.0,
200,04/15/15 12:35:00 AM,18.901,0.0,
201,04/15/15 12:40:00 AM,18.901,0.0,
202,04/15/15 12:45:00 AM,18.806,0.0,
203,04/15/15 12:50:00 AM,18.806,0.0,
204,04/15/15 12:55:00 AM,18.806,0.0,
205,04/15/15 01:00:00 AM,18.806,0.0,
206,04/15/15 01:05:00 AM,18.711,0.0,
207,04/15/15 01:10:00 AM,18.711,0.0,
