"Date","Time, GMT-07:00","Temp, °C"
10/21/14,08:00:00,23.713
10/21/14,08:15:00,22.130
10/21/14,08:30:00,20.412
10/21/14,08:45:00,20.222
10/21/14,09:00:00,19.484
10/21/14,09:15:00,18.628
10/21/14,09:30:00,18.176
10/21/14,09:45:00,18.794
10/21/14,10:00:00,19.341
10/21/14,10:15:00,19.579
10/21/14,10:30:00,19.698
10/21/14,10:45:00,24.171
10/21/14,11:00:00,26.989
10/21/14,11:15:00,30.469
10/21/14,11:30:00,32.073
10/21/14,11:45:00,32.278
10/21/14,12:00:00,33.887
10/21/14,12:15:00,33.704
10/21/14,12:30:00,35.636
10/21/14,12:45:00,32.278
10/21/14,13:00:00,29.966
10/21/14,13:15:00,28.568
10/21/14,13:30:00,28.419
10/21/14,13:45:00,28.543
10/21/14,14:00:00,31.740
10/21/14,14:15:00,35.770
10/21/14,14:30:00,36.688
10/21/14,14:45:00,35.422
10/21/14,15:00:00,35.716
10/21/14,15:15:00,38.784
10/21/14,15:30:00,32.949
10/21/14,15:45:00,29.365
10/21/14,16:00:00,27.358
10/21/14,16:15:00,26.182
10/21/14,16:30:00,24.944
10/21/14,16:45:00,23.954
10/21/14,17:00:00,23.280
10/21/14,17:15:00,23.448
10/21/14,17:30:00,23.424
10/21/14,17:45:00,23.088
10/21/14,18:00:00,22.441
10/21/14,18:15:00,21.819
10/21/14,18:30:00,21.342
10/21/14,18:45:00,20.984
10/21/14,19:00:00,20.770
10/21/14,19:15:00,20.603
10/21/14,19:30:00,20.246
10/21/14,19:45:00,19.936
10/21/14,20:00:00,19.555
10/21/14,20:15:00,19.151
10/21/14,20:30:00,18.580
10/21/14,20:45:00,18.247
10/21/14,21:00:00,18.485
10/21/14,21:15:00,18.081
10/21/14,21:30:00,18.010
10/21/14,21:45:00,17.867
10/21/14,22:00:00,17.748
10/21/14,22:15:00,17.320
10/21/14,22:30:00,17.106
10/21/14,22:45:00,16.773
10/21/14,23:00:00,16.701
10/21/14,23:15:00,16.963
10/21/14,23:30:00,17.130
10/21/14,23:45:00,17.225
10/22/14,00:00:00,17.558
10/22/14,00:15:00,17.772
10/22/14,00:30:00,17.653
10/22/14,00:45:00,17.201
10/22/14,01:00:00,17.034
10/22/14,01:15:00,17.153
10/22/14,01:30:00,17.534
10/22/14,01:45:00,17.724
10/22/14,02:00:00,17.772
10/22/14,02:15:00,18.010
10/22/14,02:30:00,17.962
10/22/14,02:45:00,18.057
10/22/14,03:00:00,18.081
10/22/14,03:15:00,17.938
10/22/14,03:30:00,17.867
10/22/14,03:45:00,17.843
10/22/14,04:00:00,17.772
10/22/14,04:15:00,17.629
10/22/14,04:30:00,17.344
10/22/14,04:45:00,17.272
10/22/14,05:00:00,17.320
10/22/14,05:15:00,17.439
10/22/14,05:30:00,17.534
10/22/14,05:45:00,17.629
10/22/14,06:00:00,17.629
10/22/14,06:15:00,17.582
10/22/14,06:30:00,17.582
10/22/14,06:45:00,17.510
10/22/14,07:00:00,17.486
10/22/14,07:15:00,17.558
10/22/14,07:30:00,17.582
10/22/14,07:45:00,17.867
10/22/14,08:00:00,18.913
10/22/14,08:15:00,20.007
10/22/14,08:30:00,21.056
10/22/14,08:45:00,21.581
10/22/14,09:00:00,22.369
10/22/14,09:15:00,23.689
10/22/14,09:30:00,23.785
10/22/14,09:45:00,23.641
10/22/14,10:00:00,23.400
10/22/14,10:15:00,23.328
10/22/14,10:30:00,23.400
10/22/14,10:45:00,23.497
10/22/14,11:00:00,23.641
10/22/14,11:15:00,23.809
10/22/14,11:30:00,23.833
10/22/14,11:45:00,23.881
10/22/14,12:00:00,23.112
10/22/14,12:15:00,28.171
10/22/14,12:30:00,32.872
10/22/14,12:45:00,34.255
10/22/14,13:00:00,20.365
10/22/14,13:15:00,20.126
10/22/14,13:30:00,20.079
10/22/14,13:45:00,20.079
10/22/14,14:00:00,19.960
10/22/14,14:15:00,19.960
10/22/14,14:30:00,20.007
10/22/14,14:45:00,20.079
10/22/14,15:00:00,20.150
10/22/14,15:15:00,20.222
10/22/14,15:30:00,20.293
10/22/14,15:45:00,20.317
10/22/14,16:00:00,20.341
10/22/14,16:15:00,20.341
10/22/14,16:30:00,20.341
10/22/14,16:45:00,20.341
10/22/14,17:00:00,20.317
10/22/14,17:15:00,20.293
10/22/14,17:30:00,20.246
10/22/14,17:45:00,20.198
10/22/14,18:00:00,20.174
10/22/14,18:15:00,20.150
10/22/14,18:30:00,20.150
10/22/14,18:45:00,20.174
10/22/14,19:00:00,20.150
10/22/14,19:15:00,20.174
10/22/14,19:30:00,20.174
10/22/14,19:45:00,20.174
10/22/14,20:00:00,20.174
10/22/14,20:15:00,20.198
10/22/14,20:30:00,20.222
10/22/14,20:45:00,20.246
10/22/14,21:00:00,20.246
10/22/14,21:15:00,20.269
10/22/14,21:30:00,20.269
10/22/14,21:45:00,20.222
10/22/14,22:00:00,20.198
10/22/14,22:15:00,20.126
10/22/14,22:30:00,20.055
10/22/14,22:45:00,19.936
10/22/14,23:00:00,19.841
10/22/14,23:15:00,19.722
10/22/14,23:30:00,19.627
10/22/14,23:45:00,19.555
10/23/14,00:00:00,19.484
10/23/14,00:15:00,19.436
10/23/14,00:30:00,19.389
10/23/14,00:45:00,19.365
10/23/14,01:00:00,19.365
10/23/14,01:15:00,19.365
10/23/14,01:30:00,19.341
10/23/14,01:45:00,19.318
10/23/14,02:00:00,19.294
10/23/14,02:15:00,19.270
10/23/14,02:30:00,19.222
10/23/14,02:45:00,19.175
10/23/14,03:00:00,19.127
10/23/14,03:15:00,19.080
10/23/14,03:30:00,19.032
10/23/14,03:45:00,18.985
10/23/14,04:00:00,18.961
10/23/14,04:15:00,18.913
10/23/14,04:30:00,18.866
10/23/14,04:45:00,18.818
10/23/14,05:00:00,18.771
10/23/14,05:15:00,18.747
10/23/14,05:30:00,18.723
10/23/14,05:45:00,18.675
10/23/14,06:00:00,18.652
10/23/14,06:15:00,18.628
10/23/14,06:30:00,18.604
10/23/14,06:45:00,18.580
10/23/14,07:00:00,18.557
10/23/14,07:15:00,18.533
10/23/14,07:30:00,18.509
10/23/14,07:45:00,18.485
10/23/14,08:00:00,18.461
10/23/14,08:15:00,18.438
10/23/14,08:30:00,18.438
10/23/14,08:45:00,18.438
10/23/14,09:00:00,18.461
10/23/14,09:15:00,18.485
10/23/14,09:30:00,18.485
10/23/14,09:45:00,18.533
10/23/14,10:00:00,18.580
10/23/14,10:15:00,18.628
10/23/14,10:30:00,18.699
10/23/14,10:45:00,18.818
10/23/14,11:00:00,18.913
10/23/14,11:15:00,18.985
10/23/14,11:30:00,19.056
10/23/14,11:45:00,19.175
10/23/14,12:00:00,19.246
10/23/14,12:15:00,19.294
10/23/14,12:30:00,19.389
10/23/14,12:45:00,19.532
10/23/14,13:00:00,19.674
10/23/14,13:15:00,19.746
10/23/14,13:30:00,19.746
10/23/14,13:45:00,19.722
10/23/14,14:00:00,19.722
10/23/14,14:15:00,19.793
10/23/14,14:30:00,19.865
10/23/14,14:45:00,19.960
10/23/14,15:00:00,20.031
10/23/14,15:15:00,20.079
10/23/14,15:30:00,20.126
10/23/14,15:45:00,20.174
10/23/14,16:00:00,20.174
10/23/14,16:15:00,20.198
10/23/14,16:30:00,20.222
10/23/14,16:45:00,20.246
10/23/14,17:00:00,20.269
10/23/14,17:15:00,20.246
10/23/14,17:30:00,20.222
10/23/14,17:45:00,20.198
10/23/14,18:00:00,20.174
10/23/14,18:15:00,20.174
10/23/14,18:30:00,20.174
10/23/14,18:45:00,20.174
10/23/14,19:00:00,20.174
10/23/14,19:15:00,20.174
10/23/14,19:30:00,20.174
10/23/14,19:45:00,20.174
10/23/14,20:00:00,20.174
10/23/14,20:15:00,20.174
10/23/14,20:30:00,20.174
10/23/14,20:45:00,20.198
10/23/14,21:00:00,20.198
10/23/14,21:15:00,20.198
10/23/14,21:30:00,20.174
10/23/14,21:45:00,20.150
10/23/14,22:00:00,20.079
10/23/14,22:15:00,20.007
10/23/14,22:30:00,19.960
10/23/14,22:45:00,19.865
10/23/14,23:00:00,19.793
10/23/14,23:15:00,19.746
10/23/14,23:30:00,19.674
10/23/14,23:45:00,19.627
10/24/14,00:00:00,19.579
10/24/14,00:15:00,19.532
10/24/14,00:30:00,19.508
10/24/14,00:45:00,19.460
10/24/14,01:00:00,19.436
10/24/14,01:15:00,19.389
10/24/14,01:30:00,19.365
10/24/14,01:45:00,19.318
10/24/14,02:00:00,19.270
10/24/14,02:15:00,19.246
10/24/14,02:30:00,19.199
10/24/14,02:45:00,19.151
10/24/14,03:00:00,19.080
10/24/14,03:15:00,19.032
10/24/14,03:30:00,19.008
10/24/14,03:45:00,18.961
10/24/14,04:00:00,18.913
10/24/14,04:15:00,18.866
10/24/14,04:30:00,18.818
10/24/14,04:45:00,18.794
10/24/14,05:00:00,18.771
10/24/14,05:15:00,18.723
10/24/14,05:30:00,18.699
10/24/14,05:45:00,18.652
10/24/14,06:00:00,18.604
10/24/14,06:15:00,18.557
10/24/14,06:30:00,18.533
10/24/14,06:45:00,18.509
10/24/14,07:00:00,18.461
10/24/14,07:15:00,18.438
10/24/14,07:30:00,18.438
10/24/14,07:45:00,18.414
10/24/14,08:00:00,18.414
10/24/14,08:15:00,18.414
10/24/14,08:30:00,18.414
10/24/14,08:45:00,18.414
10/24/14,09:00:00,18.414
10/24/14,09:15:00,18.414
10/24/14,09:30:00,18.414
10/24/14,09:45:00,18.438
10/24/14,10:00:00,18.485
10/24/14,10:15:00,18.533
10/24/14,10:30:00,18.604
10/24/14,10:45:00,18.747
