"Date","Time, GMT-07:00","Temp, °C"
05/19/15,08:00:00,7.745
05/19/15,08:15:00,12.654
05/19/15,08:30:00,18.747
05/19/15,08:45:00,24.339
05/19/15,09:00:00,30.117
05/19/15,09:15:00,29.464
05/19/15,09:30:00,27.112
05/19/15,09:45:00,24.629
05/19/15,10:00:00,23.280
05/19/15,10:15:00,22.417
05/19/15,10:30:00,20.913
05/19/15,10:45:00,22.298
05/19/15,11:00:00,26.671
05/19/15,11:15:00,28.419
05/19/15,11:30:00,29.740
05/19/15,11:45:00,21.103
05/19/15,12:00:00,20.984
05/19/15,12:15:00,21.103
05/19/15,12:30:00,21.294
05/19/15,12:45:00,21.485
05/19/15,13:00:00,21.676
05/19/15,13:15:00,21.772
05/19/15,13:30:00,21.915
05/19/15,13:45:00,22.011
05/19/15,14:00:00,22.058
05/19/15,14:15:00,22.154
05/19/15,14:30:00,22.034
05/19/15,14:45:00,21.939
05/19/15,15:00:00,21.891
05/19/15,15:15:00,21.867
05/19/15,15:30:00,21.939
05/19/15,15:45:00,21.939
05/19/15,16:00:00,21.915
05/19/15,16:15:00,21.819
05/19/15,16:30:00,21.772
05/19/15,16:45:00,21.748
05/19/15,17:00:00,21.700
05/19/15,17:15:00,21.628
05/19/15,17:30:00,21.581
05/19/15,17:45:00,21.533
05/19/15,18:00:00,21.509
05/19/15,18:15:00,21.437
05/19/15,18:30:00,21.366
05/19/15,18:45:00,21.342
05/19/15,19:00:00,21.342
05/19/15,19:15:00,21.413
05/19/15,19:30:00,21.461
05/19/15,19:45:00,21.485
05/19/15,20:00:00,21.485
05/19/15,20:15:00,21.509
05/19/15,20:30:00,21.485
05/19/15,20:45:00,21.509
05/19/15,21:00:00,21.557
05/19/15,21:15:00,21.557
05/19/15,21:30:00,21.533
05/19/15,21:45:00,21.437
05/19/15,22:00:00,21.318
05/19/15,22:15:00,21.199
05/19/15,22:30:00,21.103
05/19/15,22:45:00,21.008
05/19/15,23:00:00,20.913
05/19/15,23:15:00,20.770
05/19/15,23:30:00,20.650
05/19/15,23:45:00,20.507
05/20/15,00:00:00,20.365
05/20/15,00:15:00,20.246
05/20/15,00:30:00,20.150
05/20/15,00:45:00,20.079
05/20/15,01:00:00,20.007
