"Date","Time, GMT-07:00","Temp, °C"
05/19/15,08:00:00,9.952
05/19/15,08:15:00,13.281
05/19/15,08:30:00,20.293
05/19/15,08:45:00,25.428
05/19/15,09:00:00,28.593
05/19/15,09:15:00,28.097
05/19/15,09:30:00,25.841
05/19/15,09:45:00,23.881
05/19/15,10:00:00,22.800
05/19/15,10:15:00,22.154
05/19/15,10:30:00,21.437
05/19/15,10:45:00,24.363
05/19/15,11:00:00,30.874
05/19/15,11:15:00,31.791
05/19/15,11:30:00,31.459
05/19/15,11:45:00,21.032
05/19/15,12:00:00,20.984
05/19/15,12:15:00,21.151
05/19/15,12:30:00,21.366
05/19/15,12:45:00,21.533
05/19/15,13:00:00,21.700
05/19/15,13:15:00,21.843
05/19/15,13:30:00,21.963
05/19/15,13:45:00,22.034
05/19/15,14:00:00,22.106
05/19/15,14:15:00,22.202
05/19/15,14:30:00,22.106
05/19/15,14:45:00,22.058
05/19/15,15:00:00,21.987
05/19/15,15:15:00,21.987
05/19/15,15:30:00,22.034
05/19/15,15:45:00,22.058
05/19/15,16:00:00,22.034
05/19/15,16:15:00,21.939
05/19/15,16:30:00,21.891
05/19/15,16:45:00,21.867
05/19/15,17:00:00,21.819
05/19/15,17:15:00,21.748
05/19/15,17:30:00,21.700
05/19/15,17:45:00,21.652
05/19/15,18:00:00,21.628
05/19/15,18:15:00,21.557
05/19/15,18:30:00,21.485
05/19/15,18:45:00,21.461
05/19/15,19:00:00,21.461
05/19/15,19:15:00,21.533
05/19/15,19:30:00,21.581
05/19/15,19:45:00,21.604
05/19/15,20:00:00,21.604
05/19/15,20:15:00,21.628
05/19/15,20:30:00,21.604
05/19/15,20:45:00,21.628
05/19/15,21:00:00,21.676
05/19/15,21:15:00,21.700
05/19/15,21:30:00,21.652
05/19/15,21:45:00,21.581
05/19/15,22:00:00,21.437
05/19/15,22:15:00,21.318
05/19/15,22:30:00,21.223
05/19/15,22:45:00,21.127
05/19/15,23:00:00,21.032
05/19/15,23:15:00,20.913
05/19/15,23:30:00,20.770
05/19/15,23:45:00,20.627
05/20/15,00:00:00,20.484
05/20/15,00:15:00,20.365
05/20/15,00:30:00,20.269
05/20/15,00:45:00,20.198
05/20/15,01:00:00,20.150
05/20/15,01:15:00,20.031
05/20/15,01:30:00,19.936
05/20/15,01:45:00,19.817
05/20/15,02:00:00,19.722
05/20/15,02:15:00,19.603
05/20/15,02:30:00,19.484
05/20/15,02:45:00,19.389
05/20/15,03:00:00,19.246
05/20/15,03:15:00,19.175
05/20/15,03:30:00,19.103
05/20/15,03:45:00,19.056
05/20/15,04:00:00,18.985
05/20/15,04:15:00,18.889
05/20/15,04:30:00,18.794
05/20/15,04:45:00,18.652
05/20/15,05:00:00,18.533
05/20/15,05:15:00,18.461
05/20/15,05:30:00,18.390
05/20/15,05:45:00,18.343
05/20/15,06:00:00,18.319
05/20/15,06:15:00,18.247
05/20/15,06:30:00,18.200
05/20/15,06:45:00,18.129
05/20/15,07:00:00,18.105
05/20/15,07:15:00,18.081
05/20/15,07:30:00,18.057
05/20/15,07:45:00,18.057
05/20/15,08:00:00,18.105
05/20/15,08:15:00,18.129
05/20/15,08:30:00,18.176
05/20/15,08:45:00,18.224
05/20/15,09:00:00,18.295
05/20/15,09:15:00,18.438
05/20/15,09:30:00,18.557
05/20/15,09:45:00,18.771
05/20/15,10:00:00,18.961
05/20/15,10:15:00,19.246
05/20/15,10:30:00,19.484
05/20/15,10:45:00,19.722
05/20/15,11:00:00,19.936
05/20/15,11:15:00,20.174
05/20/15,11:30:00,20.412
05/20/15,11:45:00,20.698
05/20/15,12:00:00,20.889
05/20/15,12:15:00,21.103
05/20/15,12:30:00,21.342
05/20/15,12:45:00,21.557
05/20/15,13:00:00,21.772
05/20/15,13:15:00,21.891
05/20/15,13:30:00,21.963
05/20/15,13:45:00,22.011
05/20/15,14:00:00,21.987
05/20/15,14:15:00,22.130
05/20/15,14:30:00,22.178
05/20/15,14:45:00,22.106
05/20/15,15:00:00,22.130
05/20/15,15:15:00,22.154
05/20/15,15:30:00,22.130
05/20/15,15:45:00,22.106
05/20/15,16:00:00,22.082
05/20/15,16:15:00,22.034
05/20/15,16:30:00,21.963
05/20/15,16:45:00,21.891
05/20/15,17:00:00,21.867
05/20/15,17:15:00,21.843
05/20/15,17:30:00,21.819
05/20/15,17:45:00,21.819
