"Date","Time, GMT-07:00","Temp, °C"
10/21/14,08:00:00,21.437
10/21/14,08:15:00,21.127
10/21/14,08:30:00,20.507
10/21/14,08:45:00,23.184
10/21/14,09:00:00,21.915
10/21/14,09:15:00,21.772
10/21/14,09:30:00,21.772
10/21/14,09:45:00,21.485
10/21/14,10:00:00,21.390
10/21/14,10:15:00,23.641
10/21/14,10:30:00,20.031
10/21/14,10:45:00,19.199
10/21/14,11:00:00,19.199
10/21/14,11:15:00,19.294
10/21/14,11:30:00,19.389
10/21/14,11:45:00,19.532
10/21/14,12:00:00,19.674
10/21/14,12:15:00,19.770
10/21/14,12:30:00,19.817
10/21/14,12:45:00,19.865
10/21/14,13:00:00,19.936
10/21/14,13:15:00,20.031
10/21/14,13:30:00,20.126
10/21/14,13:45:00,20.174
10/21/14,14:00:00,20.222
10/21/14,14:15:00,20.269
10/21/14,14:30:00,20.317
10/21/14,14:45:00,20.365
10/21/14,15:00:00,20.412
10/21/14,15:15:00,20.436
10/21/14,15:30:00,20.412
10/21/14,15:45:00,20.412
10/21/14,16:00:00,20.436
10/21/14,16:15:00,20.460
10/21/14,16:30:00,20.507
10/21/14,16:45:00,20.555
10/21/14,17:00:00,20.627
10/21/14,17:15:00,20.674
10/21/14,17:30:00,20.722
10/21/14,17:45:00,20.722
10/21/14,18:00:00,20.698
10/21/14,18:15:00,20.650
10/21/14,18:30:00,20.579
10/21/14,18:45:00,20.507
10/21/14,19:00:00,20.412
10/21/14,19:15:00,20.317
10/21/14,19:30:00,20.222
10/21/14,19:45:00,20.126
10/21/14,20:00:00,20.079
10/21/14,20:15:00,20.031
10/21/14,20:30:00,20.007
10/21/14,20:45:00,20.007
10/21/14,21:00:00,19.984
10/21/14,21:15:00,19.984
10/21/14,21:30:00,19.960
10/21/14,21:45:00,19.960
10/21/14,22:00:00,19.936
10/21/14,22:15:00,19.912
10/21/14,22:30:00,19.865
10/21/14,22:45:00,19.817
10/21/14,23:00:00,19.746
10/21/14,23:15:00,19.674
10/21/14,23:30:00,19.674
10/21/14,23:45:00,19.674
10/22/14,00:00:00,19.603
10/22/14,00:15:00,19.532
10/22/14,00:30:00,19.484
10/22/14,00:45:00,19.436
10/22/14,01:00:00,19.389
10/22/14,01:15:00,19.365
10/22/14,01:30:00,19.341
10/22/14,01:45:00,19.341
10/22/14,02:00:00,19.318
10/22/14,02:15:00,19.270
10/22/14,02:30:00,19.246
10/22/14,02:45:00,19.222
10/22/14,03:00:00,19.199
10/22/14,03:15:00,19.151
10/22/14,03:30:00,19.151
10/22/14,03:45:00,19.103
10/22/14,04:00:00,19.103
10/22/14,04:15:00,19.080
10/22/14,04:30:00,19.080
10/22/14,04:45:00,19.056
10/22/14,05:00:00,19.032
10/22/14,05:15:00,19.008
10/22/14,05:30:00,18.985
10/22/14,05:45:00,18.985
10/22/14,06:00:00,18.961
10/22/14,06:15:00,18.961
10/22/14,06:30:00,18.961
10/22/14,06:45:00,18.937
10/22/14,07:00:00,18.937
10/22/14,07:15:00,18.913
10/22/14,07:30:00,18.889
10/22/14,07:45:00,18.889
10/22/14,08:00:00,18.889
10/22/14,08:15:00,18.913
10/22/14,08:30:00,18.937
10/22/14,08:45:00,18.937
10/22/14,09:00:00,18.985
10/22/14,09:15:00,19.032
10/22/14,09:30:00,19.080
10/22/14,09:45:00,19.127
10/22/14,10:00:00,19.175
10/22/14,10:15:00,19.199
10/22/14,10:30:00,19.246
10/22/14,10:45:00,19.341
10/22/14,11:00:00,19.460
10/22/14,11:15:00,19.555
10/22/14,11:30:00,19.651
10/22/14,11:45:00,19.793
10/22/14,12:00:00,19.960
10/22/14,12:15:00,20.031
10/22/14,12:30:00,20.031
10/22/14,12:45:00,20.079
10/22/14,13:00:00,20.126
10/22/14,13:15:00,20.174
10/22/14,13:30:00,20.222
10/22/14,13:45:00,20.246
10/22/14,14:00:00,20.269
10/22/14,14:15:00,20.317
10/22/14,14:30:00,20.365
10/22/14,14:45:00,20.436
10/22/14,15:00:00,20.484
10/22/14,15:15:00,20.484
10/22/14,15:30:00,20.460
10/22/14,15:45:00,20.460
10/22/14,16:00:00,20.484
10/22/14,16:15:00,20.484
10/22/14,16:30:00,20.507
10/22/14,16:45:00,20.555
10/22/14,17:00:00,20.603
10/22/14,17:15:00,20.650
10/22/14,17:30:00,20.698
10/22/14,17:45:00,20.698
10/22/14,18:00:00,20.674
10/22/14,18:15:00,20.650
10/22/14,18:30:00,20.579
10/22/14,18:45:00,20.507
10/22/14,19:00:00,20.412
10/22/14,19:15:00,20.269
10/22/14,19:30:00,20.126
10/22/14,19:45:00,20.007
10/22/14,20:00:00,19.912
10/22/14,20:15:00,19.841
10/22/14,20:30:00,19.817
10/22/14,20:45:00,19.770
10/22/14,21:00:00,19.746
10/22/14,21:15:00,19.746
10/22/14,21:30:00,19.817
10/22/14,21:45:00,19.865
10/22/14,22:00:00,19.841
10/22/14,22:15:00,19.793
10/22/14,22:30:00,19.770
10/22/14,22:45:00,19.722
10/22/14,23:00:00,19.698
10/22/14,23:15:00,19.651
10/22/14,23:30:00,19.579
10/22/14,23:45:00,19.532
10/23/14,00:00:00,19.460
10/23/14,00:15:00,19.413
10/23/14,00:30:00,19.413
10/23/14,00:45:00,19.365
10/23/14,01:00:00,19.341
10/23/14,01:15:00,19.318
10/23/14,01:30:00,19.318
10/23/14,01:45:00,19.270
10/23/14,02:00:00,19.294
10/23/14,02:15:00,19.270
10/23/14,02:30:00,19.270
10/23/14,02:45:00,19.246
10/23/14,03:00:00,19.246
10/23/14,03:15:00,19.222
