MiniDOT Logger Concatenated Data File
Sensor:             6881-0660
Concatenation Date: 2014Oct08 14:04:43 MST

DO concentration compensated for salinity: 2.62 (ppt)
Saturation computed at elevation: 900.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),       (deg C),            (mg/l),                          (%),        (none)
                1397608260,           2014-04-16 00:31:00,           2014-04-15 17:31:00,     21.913439,          7.353041,                    95.232909,      0.980565
                1397609100,           2014-04-16 00:45:00,           2014-04-15 17:45:00,     21.063804,          7.511873,                    95.692785,      0.985672
                1397610000,           2014-04-16 01:00:00,           2014-04-15 18:00:00,     20.922114,          7.482813,                    95.057878,      0.986683
                1397610900,           2014-04-16 01:15:00,           2014-04-15 18:15:00,     20.863764,          7.452756,                    94.567528,      0.987139
                1397611800,           2014-04-16 01:30:00,           2014-04-15 18:30:00,     20.813745,          7.427138,                    94.149780,      0.986825
                1397612700,           2014-04-16 01:45:00,           2014-04-15 18:45:00,     20.747047,          7.405670,                    93.754440,      0.986889
                1397613600,           2014-04-16 02:00:00,           2014-04-15 19:00:00,     20.688682,          7.394769,                    93.508816,      0.987854
                1397614500,           2014-04-16 02:15:00,           2014-04-15 19:15:00,     20.613632,          7.350693,                    92.813946,      0.986134
                1397615400,           2014-04-16 02:30:00,           2014-04-15 19:30:00,     20.513553,          7.343787,                    92.543611,      0.986572
                1397616300,           2014-04-16 02:45:00,           2014-04-15 19:45:00,     20.413457,          7.349304,                    92.429923,      0.987482
                1397617200,           2014-04-16 03:00:00,           2014-04-15 20:00:00,     20.321687,          7.352869,                    92.306782,      0.987196
                1397618100,           2014-04-16 03:15:00,           2014-04-15 20:15:00,     20.221557,          7.327668,                    91.807841,      0.985917
                1397619000,           2014-04-16 03:30:00,           2014-04-15 20:30:00,     20.113062,          7.347687,                    91.860377,      0.986473
                1397619900,           2014-04-16 03:45:00,           2014-04-15 20:45:00,     20.088021,          7.341415,                    91.736265,      0.986356
                1397620800,           2014-04-16 04:00:00,           2014-04-15 21:00:00,     20.071327,          7.351618,                    91.833247,      0.987561
                1397621700,           2014-04-16 04:15:00,           2014-04-15 21:15:00,     20.029589,          7.355561,                    91.806179,      0.987445
                1397622600,           2014-04-16 04:30:00,           2014-04-15 21:30:00,     20.021241,          7.345252,                    91.662269,      0.986557
                1397623500,           2014-04-16 04:45:00,           2014-04-15 21:45:00,     19.996195,          7.357489,                    91.769178,      0.986944
                1397624400,           2014-04-16 05:00:00,           2014-04-15 22:00:00,     19.979498,          7.349204,                    91.635349,      0.986441
                1397625300,           2014-04-16 05:15:00,           2014-04-15 22:15:00,     19.971149,          7.363570,                    91.799203,      0.986895
                1397626200,           2014-04-16 05:30:00,           2014-04-15 22:30:00,     19.954451,          7.349115,                    91.588507,      0.985958
                1397627100,           2014-04-16 05:45:00,           2014-04-15 22:45:00,     19.937752,          7.359337,                    91.685359,      0.985959
                1397628000,           2014-04-16 06:00:00,           2014-04-15 23:00:00,     19.896002,          7.357144,                    91.581727,      0.986210
                1397628900,           2014-04-16 06:15:00,           2014-04-15 23:15:00,     19.879301,          7.361205,                    91.601744,      0.986177
                1397629800,           2014-04-16 06:30:00,           2014-04-15 23:30:00,     19.862600,          7.365270,                    91.621779,      0.985745
                1397630700,           2014-04-16 06:45:00,           2014-04-15 23:45:00,     19.820844,          7.381633,                    91.748782,      0.986899
                1397631600,           2014-04-16 07:00:00,           2014-04-16 00:00:00,     19.787436,          7.377419,                    91.635213,      0.986365
                1397632500,           2014-04-16 07:15:00,           2014-04-16 00:15:00,     19.762378,          7.383542,                    91.665330,      0.986316
                1397633400,           2014-04-16 07:30:00,           2014-04-16 00:30:00,     19.745673,          7.393823,                    91.762309,      0.986318
                1397634300,           2014-04-16 07:45:00,           2014-04-16 00:45:00,     19.712259,          7.402013,                    91.802563,      0.987053
                1397635200,           2014-04-16 08:00:00,           2014-04-16 01:00:00,     19.695552,          7.406113,                    91.822709,      0.986621
                1397636100,           2014-04-16 08:15:00,           2014-04-16 01:15:00,     19.695552,          7.399909,                    91.745786,      0.986587
                1397637000,           2014-04-16 08:30:00,           2014-04-16 01:30:00,     19.653780,          7.397760,                    91.642456,      0.986037
                1397637900,           2014-04-16 08:45:00,           2014-04-16 01:45:00,     19.628715,          7.397716,                    91.595913,      0.985556
                1397638800,           2014-04-16 09:00:00,           2014-04-16 02:00:00,     19.603648,          7.403875,                    91.626128,      0.985906
                1397639700,           2014-04-16 09:15:00,           2014-04-16 02:15:00,     19.586936,          7.401784,                    91.569565,      0.985840
                1397640600,           2014-04-16 09:30:00,           2014-04-16 02:30:00,     19.561867,          7.420372,                    91.753383,      0.986659
                1397641500,           2014-04-16 09:45:00,           2014-04-16 02:45:00,     19.528440,          7.416187,                    91.640164,      0.986127
                1397642400,           2014-04-16 10:00:00,           2014-04-16 03:00:00,     19.495009,          7.430659,                    91.757389,      0.986496
                1397643300,           2014-04-16 10:15:00,           2014-04-16 03:15:00,     19.453218,          7.428550,                    91.654379,      0.985948
                1397644200,           2014-04-16 10:30:00,           2014-04-16 03:30:00,     19.436500,          7.438912,                    91.751404,      0.985950
                1397645100,           2014-04-16 10:45:00,           2014-04-16 03:45:00,     19.411421,          7.445129,                    91.781812,      0.986700
                1397646000,           2014-04-16 11:00:00,           2014-04-16 04:00:00,     19.394702,          7.436815,                    91.648503,      0.985802
                1397646900,           2014-04-16 11:15:00,           2014-04-16 04:15:00,     19.336177,          7.445109,                    91.642737,      0.986054
                1397647800,           2014-04-16 11:30:00,           2014-04-16 04:30:00,     19.319454,          7.461746,                    91.816611,      0.986490
                1397648700,           2014-04-16 11:45:00,           2014-04-16 04:45:00,     19.302731,          7.453424,                    91.683332,      0.985990
                1397649600,           2014-04-16 12:00:00,           2014-04-16 05:00:00,     19.260918,          7.457595,                    91.657406,      0.985876
                1397650500,           2014-04-16 12:15:00,           2014-04-16 05:15:00,     19.219101,          7.486798,                    91.938791,      0.987096
                1397651400,           2014-04-16 12:30:00,           2014-04-16 05:30:00,     19.177279,          7.484738,                    91.835995,      0.986150
                1397652300,           2014-04-16 12:45:00,           2014-04-16 05:45:00,     19.127087,          7.509881,                    92.051177,      0.987320
                1397653200,           2014-04-16 13:00:00,           2014-04-16 06:00:00,     19.093621,          7.499454,                    91.861252,      0.985957
                1397654100,           2014-04-16 13:15:00,           2014-04-16 06:15:00,     19.085254,          7.495284,                    91.794662,      0.984714
                1397655000,           2014-04-16 13:30:00,           2014-04-16 06:30:00,     19.093621,          7.518304,                    92.092147,      0.985663
                1397655900,           2014-04-16 13:45:00,           2014-04-16 06:45:00,     19.101988,          7.547724,                    92.468146,      0.986651
                1397656800,           2014-04-16 14:00:00,           2014-04-16 07:00:00,     19.110354,          7.551932,                    92.535332,      0.985104
                1397657700,           2014-04-16 14:15:00,           2014-04-16 07:15:00,     19.127087,          7.598471,                    93.137054,      0.986216
                1397658600,           2014-04-16 14:30:00,           2014-04-16 07:30:00,     19.143818,          7.645352,                    93.743351,      0.987337
                1397659500,           2014-04-16 14:45:00,           2014-04-16 07:45:00,     19.177279,          7.668927,                    94.095942,      0.986372
                1397660400,           2014-04-16 15:00:00,           2014-04-16 08:00:00,     19.177279,          7.643214,                    93.780452,      0.985021
                1397661300,           2014-04-16 15:15:00,           2014-04-16 08:15:00,     19.194009,          7.664640,                    94.075095,      0.985597
                1397662200,           2014-04-16 15:30:00,           2014-04-16 08:30:00,     19.260918,          7.731564,                    95.024613,      0.986596
                1397663100,           2014-04-16 15:45:00,           2014-04-16 08:45:00,     19.336177,          7.783951,                    95.813595,      0.985104
                1397664000,           2014-04-16 16:00:00,           2014-04-16 09:00:00,     19.411421,          7.843460,                    96.692334,      0.985274
                1397664900,           2014-04-16 16:15:00,           2014-04-16 09:15:00,     19.461576,          7.883481,                    97.283717,      0.986075
                1397665800,           2014-04-16 16:30:00,           2014-04-16 09:30:00,     19.503367,          7.932693,                    97.973190,      0.985251
                1397666700,           2014-04-16 16:45:00,           2014-04-16 09:45:00,     19.545154,          7.989069,                    98.752253,      0.986120
                1397667600,           2014-04-16 17:00:00,           2014-04-16 10:00:00,     19.578580,          8.027727,                    99.296642,      0.986033
                1397668500,           2014-04-16 17:15:00,           2014-04-16 10:15:00,     19.645425,          8.092012,                   100.225986,      0.984945
                1397669400,           2014-04-16 17:30:00,           2014-04-16 10:30:00,     19.812492,          8.227659,                   102.247258,      0.985419
                1397670300,           2014-04-16 17:45:00,           2014-04-16 10:45:00,     19.954451,          8.203291,                   102.233691,      0.984495
                1397671200,           2014-04-16 18:00:00,           2014-04-16 11:00:00,     20.046284,          8.298310,                   103.607254,      0.985332
                1397672100,           2014-04-16 18:15:00,           2014-04-16 11:15:00,     20.263280,          8.289106,                   103.939668,      0.985167
                1397673000,           2014-04-16 18:30:00,           2014-04-16 11:30:00,     20.296656,          8.272976,                   103.806128,      0.985193
                1397673900,           2014-04-16 18:45:00,           2014-04-16 11:45:00,     20.330030,          8.249811,                   103.583983,      0.987326
                1397674800,           2014-04-16 19:00:00,           2014-04-16 12:00:00,     20.380087,          8.180110,                   102.810750,      0.984966
                1397675700,           2014-04-16 19:15:00,           2014-04-16 12:15:00,     20.496871,          8.198023,                   103.274304,      0.984606
                1397676600,           2014-04-16 19:30:00,           2014-04-16 12:30:00,     20.747047,          8.300972,                   105.088800,      0.985168
                1397677500,           2014-04-16 19:45:00,           2014-04-16 12:45:00,     21.030468,          8.282106,                   105.435736,      0.984297
                1397678400,           2014-04-16 20:00:00,           2014-04-16 13:00:00,     21.063804,          8.273206,                   105.391314,      0.985235
                1397679300,           2014-04-16 20:15:00,           2014-04-16 13:15:00,     21.038802,          8.244292,                   104.971502,      0.984554
                1397680200,           2014-04-16 20:30:00,           2014-04-16 13:30:00,     20.963791,          8.165364,                   103.813611,      0.986028
                1397681100,           2014-04-16 20:45:00,           2014-04-16 13:45:00,     20.938785,          8.122998,                   103.224270,      0.985706
                1397682000,           2014-04-16 21:00:00,           2014-04-16 14:00:00,     21.047136,          8.136426,                   103.615021,      0.986586
                1397682900,           2014-04-16 21:15:00,           2014-04-16 14:15:00,     21.113806,          8.125928,                   103.616646,      0.985461
                1397683800,           2014-04-16 21:30:00,           2014-04-16 14:30:00,     21.088805,          8.097630,                   103.205244,      0.985218
                1397684700,           2014-04-16 21:45:00,           2014-04-16 14:45:00,     21.013799,          8.047925,                   102.420982,      0.985545
                1397685600,           2014-04-16 22:00:00,           2014-04-16 15:00:00,     20.922114,          7.996136,                   101.578881,      0.986652
                1397686500,           2014-04-16 22:15:00,           2014-04-16 15:15:00,     20.872100,          7.927364,                   100.606294,      0.986943
                1397687400,           2014-04-16 22:30:00,           2014-04-16 15:30:00,     20.830418,          7.877348,                    99.889615,      0.986094
                1397688300,           2014-04-16 22:45:00,           2014-04-16 15:45:00,     20.788734,          7.821079,                    99.094763,      0.985637
                1397689200,           2014-04-16 23:00:00,           2014-04-16 16:00:00,     20.788734,          7.807774,                    98.926180,      0.986824
                1397690100,           2014-04-16 23:15:00,           2014-04-16 16:15:00,     20.772060,          7.745837,                    98.109208,      0.986416
                1397691000,           2014-04-16 23:30:00,           2014-04-16 16:30:00,     20.772060,          7.739256,                    98.025862,      0.987216
                1397691900,           2014-04-16 23:45:00,           2014-04-16 16:45:00,     20.780397,          7.697827,                    97.517122,      0.986591
                1397692800,           2014-04-17 00:00:00,           2014-04-16 17:00:00,     20.738710,          7.662605,                    96.991257,      0.986251
                1397693700,           2014-04-17 00:15:00,           2014-04-16 17:15:00,     20.663666,          7.629418,                    96.428431,      0.986226
                1397694600,           2014-04-17 00:30:00,           2014-04-16 17:30:00,     20.563595,          7.589812,                    95.738561,      0.986904
                1397695500,           2014-04-17 00:45:00,           2014-04-16 17:45:00,     20.471848,          7.561266,                    95.205652,      0.986844
                1397696400,           2014-04-17 01:00:00,           2014-04-16 18:00:00,     20.430140,          7.533311,                    94.775415,      0.987364
                1397697300,           2014-04-17 01:15:00,           2014-04-16 18:15:00,     20.405114,          7.507735,                    94.406864,      0.986726
                1397698200,           2014-04-17 01:30:00,           2014-04-16 18:30:00,     20.388430,          7.480228,                    94.029908,      0.986515
                1397699100,           2014-04-17 01:45:00,           2014-04-16 18:45:00,     20.355059,          7.463205,                    93.753913,      0.987122
                1397700000,           2014-04-17 02:00:00,           2014-04-16 19:00:00,     20.330030,          7.412937,                    93.076259,      0.985539
