MiniDOT Logger Concatenated Data File
Sensor:             6881-0672
Concatenation Date: 2014Oct08 14:01:35 MST

DO concentration compensated for salinity: 2.59 (ppt)
Saturation computed at elevation: 900.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),       (deg C),            (mg/l),                          (%),        (none)
                1403730060,           2014-06-25 21:01:00,           2014-06-25 14:01:00,     22.375460,          6.631370,                    86.640293,      0.994857
                1403730900,           2014-06-25 21:15:00,           2014-06-25 14:15:00,     22.841551,          6.605860,                    87.081581,      0.994349
                1403731800,           2014-06-25 21:30:00,           2014-06-25 14:30:00,     22.283883,          6.672967,                    87.030239,      0.994404
                1403732700,           2014-06-25 21:45:00,           2014-06-25 14:45:00,     21.934147,          6.713912,                    86.974953,      0.994472
                1403733600,           2014-06-25 22:00:00,           2014-06-25 15:00:00,     21.725908,          6.730575,                    86.839536,      0.994396
                1403734500,           2014-06-25 22:15:00,           2014-06-25 15:15:00,     21.617604,          6.742704,                    86.813127,      0.994164
                1403735400,           2014-06-25 22:30:00,           2014-06-25 15:30:00,     21.509286,          6.754899,                    86.786998,      0.994332
                1403736300,           2014-06-25 22:45:00,           2014-06-25 15:45:00,     21.425955,          6.767369,                    86.806107,      0.994168
                1403737200,           2014-06-25 23:00:00,           2014-06-25 16:00:00,     21.367618,          6.768778,                    86.725410,      0.993217
                1403738100,           2014-06-25 23:15:00,           2014-06-25 16:15:00,     21.309276,          6.781512,                    86.789636,      0.994723
                1403739000,           2014-06-25 23:30:00,           2014-06-25 16:30:00,     21.234258,          6.786602,                    86.727518,      0.993745
                1403739900,           2014-06-25 23:45:00,           2014-06-25 16:45:00,     21.175906,          6.782405,                    86.574978,      0.993170
                1403740800,           2014-06-26 00:00:00,           2014-06-25 17:00:00,     21.125885,          6.793376,                    86.630124,      0.993887
                1403741700,           2014-06-26 00:15:00,           2014-06-25 17:15:00,     21.025834,          6.826780,                    86.885514,      0.994975
                1403742600,           2014-06-26 00:30:00,           2014-06-25 17:30:00,     20.917428,          6.827990,                    86.716152,      0.994289
                1403743500,           2014-06-26 00:45:00,           2014-06-25 17:45:00,     20.809004,          6.829260,                    86.547533,      0.993606
                1403744400,           2014-06-26 01:00:00,           2014-06-25 18:00:00,     20.692218,          6.860966,                    86.749544,      0.994637
                1403745300,           2014-06-26 01:15:00,           2014-06-25 18:15:00,     20.550375,          6.864110,                    86.546661,      0.993476
                1403746200,           2014-06-26 01:30:00,           2014-06-25 18:30:00,     20.433536,          6.878895,                    86.532897,      0.993630
                1403747100,           2014-06-26 01:45:00,           2014-06-25 18:45:00,     20.333369,          6.901483,                    86.644949,      0.994262
                1403748000,           2014-06-26 02:00:00,           2014-06-25 19:00:00,     20.291627,          6.899434,                    86.547554,      0.994140
                1403748900,           2014-06-26 02:15:00,           2014-06-25 19:15:00,     20.258231,          6.912745,                    86.657091,      0.994907
                1403749800,           2014-06-26 02:30:00,           2014-06-25 19:30:00,     20.166380,          6.904830,                    86.400121,      0.993435
                1403750700,           2014-06-26 02:45:00,           2014-06-25 19:45:00,     20.032747,          6.935245,                    86.550299,      0.994408
                1403751600,           2014-06-26 03:00:00,           2014-06-25 20:00:00,     19.890720,          6.938887,                    86.350897,      0.993255
                1403752500,           2014-06-26 03:15:00,           2014-06-25 20:15:00,     19.765365,          6.950342,                    86.277125,      0.992582
                1403753400,           2014-06-26 03:30:00,           2014-06-25 20:30:00,     19.631611,          6.975405,                    86.356728,      0.993526
                1403754300,           2014-06-26 03:45:00,           2014-06-25 20:45:00,     19.506177,          6.998698,                    86.427383,      0.994089
                1403755200,           2014-06-26 04:00:00,           2014-06-25 21:00:00,     19.430896,          7.004599,                    86.369551,      0.993523
                1403756100,           2014-06-26 04:15:00,           2014-06-25 21:15:00,     19.338867,          7.020273,                    86.402726,      0.993745
                1403757000,           2014-06-26 04:30:00,           2014-06-25 21:30:00,     19.271922,          7.024296,                    86.335764,      0.993193
