MiniDOT Logger Concatenated Data File
Sensor:             6881-0672
Concatenation Date: 2014Oct08 15:07:06 MST

DO concentration compensated for salinity: 3.14 (ppt)
Saturation computed at elevation: 900.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),       (deg C),            (mg/l),                          (%),        (none)
                1411496280,           2014-09-23 18:18:00,           2014-09-23 11:18:00,     21.200914,          7.769715,                    99.545064,      0.993481
                1411497180,           2014-09-23 18:33:00,           2014-09-23 11:33:00,     21.325945,          7.758366,                    99.642611,      0.995930
                1411498080,           2014-09-23 18:48:00,           2014-09-23 11:48:00,     21.500954,          7.714929,                    99.423147,      0.994913
                1411498980,           2014-09-23 19:03:00,           2014-09-23 12:03:00,     21.617604,          7.712459,                    99.616955,      0.995227
                1411499880,           2014-09-23 19:18:00,           2014-09-23 12:18:00,     21.717578,          7.700997,                    99.662107,      0.995883
                1411500780,           2014-09-23 19:33:00,           2014-09-23 12:33:00,     21.809209,          7.685072,                    99.632804,      0.995628
                1411501680,           2014-09-23 19:48:00,           2014-09-23 12:48:00,     21.909161,          7.667180,                    99.593317,      0.995819
                1411502580,           2014-09-23 20:03:00,           2014-09-23 13:03:00,     22.009101,          7.642835,                    99.469026,      0.995544
                1411503480,           2014-09-23 20:18:00,           2014-09-23 13:18:00,     22.075722,          7.600657,                    99.047376,      0.994656
                1411504380,           2014-09-23 20:33:00,           2014-09-23 13:33:00,     22.109030,          7.579666,                    98.837313,      0.995509
                1411505280,           2014-09-23 20:48:00,           2014-09-23 13:48:00,     22.217276,          7.553674,                    98.704057,      0.994817
                1411506180,           2014-09-23 21:03:00,           2014-09-23 14:03:00,     22.367135,          7.524323,                    98.604320,      0.995086
                1411507080,           2014-09-23 21:18:00,           2014-09-23 14:18:00,     22.458705,          7.502565,                    98.492197,      0.994799
                1411507980,           2014-09-23 21:33:00,           2014-09-23 14:33:00,     22.508649,          7.516372,                    98.768021,      0.996304
                1411508880,           2014-09-23 21:48:00,           2014-09-23 14:48:00,     22.550267,          7.493687,                    98.548508,      0.995440
                1411509780,           2014-09-23 22:03:00,           2014-09-23 15:03:00,     22.633499,          7.474034,                    98.446844,      0.995571
                1411510680,           2014-09-23 22:18:00,           2014-09-23 15:18:00,     22.733369,          7.456917,                    98.409164,      0.995328
                1411511580,           2014-09-23 22:33:00,           2014-09-23 15:33:00,     22.808265,          7.445716,                    98.402031,      0.995477
                1411512480,           2014-09-23 22:48:00,           2014-09-23 15:48:00,     22.841551,          7.437924,                    98.361520,      0.995530
                1411513380,           2014-09-23 23:03:00,           2014-09-23 16:03:00,     22.874836,          7.417458,                    98.153179,      0.995086
                1411514280,           2014-09-23 23:18:00,           2014-09-23 16:18:00,     22.933082,          7.422897,                    98.334287,      0.996139
