MiniDOT Logger Concatenated Data File
Sensor:             6881-0660
Concatenation Date: 2014Nov03 08:13:24 MST

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),       (deg C),            (mg/l),                          (%),        (none)
                1413925680,           2014-10-21 21:08:00,           2014-10-21 14:08:00,     25.281337,          7.349682,                    89.408658,      0.985661
                1413926520,           2014-10-21 21:22:00,           2014-10-21 14:22:00,     24.791222,          7.416808,                    89.414601,      0.986679
                1413927420,           2014-10-21 21:37:00,           2014-10-21 14:37:00,     21.088805,          7.300278,                    82.033676,      0.980338
                1413928320,           2014-10-21 21:52:00,           2014-10-21 14:52:00,     20.713696,          7.377671,                    82.296412,      0.983567
                1413929220,           2014-10-21 22:07:00,           2014-10-21 15:07:00,     20.705358,          7.392106,                    82.443924,      0.985637
                1413930120,           2014-10-21 22:22:00,           2014-10-21 15:22:00,     20.738710,          7.365444,                    82.200401,      0.984795
                1413931020,           2014-10-21 22:37:00,           2014-10-21 15:37:00,     20.730372,          7.367452,                    82.209347,      0.985585
                1413931920,           2014-10-21 22:52:00,           2014-10-21 15:52:00,     20.722034,          7.350898,                    82.011197,      0.984661
                1413932820,           2014-10-21 23:07:00,           2014-10-21 16:07:00,     20.705358,          7.348729,                    81.960142,      0.985401
                1413933720,           2014-10-21 23:22:00,           2014-10-21 16:22:00,     20.705358,          7.354908,                    82.029056,      0.985837
                1413934620,           2014-10-21 23:37:00,           2014-10-21 16:37:00,     20.680343,          7.348567,                    81.918053,      0.986123
                1413935520,           2014-10-21 23:52:00,           2014-10-21 16:52:00,     20.655328,          7.348409,                    81.876015,      0.986441
                1413936420,           2014-10-22 00:07:00,           2014-10-21 17:07:00,     20.605293,          7.348105,                    81.792080,      0.985872
                1413937320,           2014-10-22 00:22:00,           2014-10-21 17:22:00,     20.546914,          7.356000,                    81.785899,      0.985722
                1413938220,           2014-10-22 00:37:00,           2014-10-21 17:37:00,     20.471848,          7.361771,                    81.729053,      0.985506
                1413939120,           2014-10-22 00:52:00,           2014-10-21 17:52:00,     20.396772,          7.373761,                    81.740976,      0.985725
                1413940020,           2014-10-22 01:07:00,           2014-10-21 18:07:00,     20.338373,          7.381743,                    81.735115,      0.985576
                1413940920,           2014-10-22 01:22:00,           2014-10-21 18:22:00,     20.313343,          7.363080,                    81.488140,      0.984592
                1413941820,           2014-10-22 01:37:00,           2014-10-21 18:37:00,     20.296656,          7.385689,                    81.711390,      0.986262
                1413942720,           2014-10-22 01:52:00,           2014-10-21 18:52:00,     20.288312,          7.393919,                    81.788945,      0.986680
                1413943620,           2014-10-22 02:07:00,           2014-10-21 19:07:00,     20.288312,          7.381524,                    81.651836,      0.985811
                1413944520,           2014-10-22 02:22:00,           2014-10-21 19:22:00,     20.279968,          7.371178,                    81.523936,      0.984927
                1413945420,           2014-10-22 02:37:00,           2014-10-21 19:37:00,     20.263280,          7.381420,                    81.610262,      0.985328
                1413946320,           2014-10-22 02:52:00,           2014-10-21 19:52:00,     20.263280,          7.362875,                    81.405225,      0.984028
                1413947220,           2014-10-22 03:07:00,           2014-10-21 20:07:00,     20.263280,          7.387614,                    81.678744,      0.985762
                1413948120,           2014-10-22 03:22:00,           2014-10-21 20:22:00,     20.246591,          7.385482,                    81.628209,      0.984894
                1413949020,           2014-10-22 03:37:00,           2014-10-21 20:37:00,     20.246591,          7.385482,                    81.628209,      0.985295
                1413949920,           2014-10-22 03:52:00,           2014-10-21 20:52:00,     20.238246,          7.375134,                    81.500375,      0.984811
                1413950820,           2014-10-22 04:07:00,           2014-10-21 21:07:00,     20.221557,          7.397782,                    81.723645,      0.985680
                1413951720,           2014-10-22 04:22:00,           2014-10-21 21:22:00,     20.204867,          7.395650,                    81.673096,      0.985213
                1413952620,           2014-10-22 04:37:00,           2014-10-21 21:37:00,     20.196521,          7.397686,                    81.682077,      0.985196
                1413953520,           2014-10-22 04:52:00,           2014-10-21 21:52:00,     20.179831,          7.407971,                    81.768600,      0.985598
                1413954420,           2014-10-22 05:07:00,           2014-10-21 22:07:00,     20.171485,          7.410012,                    81.777603,      0.984780
                1413955320,           2014-10-22 05:22:00,           2014-10-21 22:22:00,     20.163139,          7.424498,                    81.923922,      0.986434
                1413956220,           2014-10-22 05:37:00,           2014-10-21 22:37:00,     20.146447,          7.422361,                    81.873250,      0.985967
                1413957120,           2014-10-22 05:52:00,           2014-10-21 22:52:00,     20.146447,          7.409922,                    81.736040,      0.984698
                1413958020,           2014-10-22 06:07:00,           2014-10-21 23:07:00,     20.138101,          7.411964,                    81.745038,      0.985082
                1413958920,           2014-10-22 06:22:00,           2014-10-21 23:22:00,     20.138101,          7.424407,                    81.882269,      0.985550
                1413959820,           2014-10-22 06:37:00,           2014-10-21 23:37:00,     20.129755,          7.420228,                    81.822639,      0.985499
                1413960720,           2014-10-22 06:52:00,           2014-10-21 23:52:00,     20.129755,          7.438924,                    82.028799,      0.986403
                1413961620,           2014-10-22 07:07:00,           2014-10-22 00:07:00,     20.129755,          7.426454,                    81.891293,      0.985533
                1413962520,           2014-10-22 07:22:00,           2014-10-22 00:22:00,     20.129755,          7.414008,                    81.754051,      0.984665
                1413963420,           2014-10-22 07:37:00,           2014-10-22 00:37:00,     20.121408,          7.409836,                    81.694523,      0.984215
                1413964320,           2014-10-22 07:52:00,           2014-10-22 00:52:00,     20.121408,          7.434735,                    81.969039,      0.985952
                1413965220,           2014-10-22 08:07:00,           2014-10-22 01:07:00,     20.113062,          7.430549,                    81.909328,      0.985501
                1413966120,           2014-10-22 08:22:00,           2014-10-22 01:22:00,     20.088021,          7.436700,                    81.936420,      0.985452
                1413967020,           2014-10-22 08:37:00,           2014-10-22 01:37:00,     20.071327,          7.428335,                    81.817147,      0.984951
                1413967920,           2014-10-22 08:52:00,           2014-10-22 01:52:00,     20.062980,          7.436619,                    81.894820,      0.985369
                1413968820,           2014-10-22 09:07:00,           2014-10-22 02:07:00,     20.046284,          7.428258,                    81.775636,      0.984469
                1413969720,           2014-10-22 09:22:00,           2014-10-22 02:22:00,     20.037937,          7.442780,                    81.921926,      0.985320
                1413970620,           2014-10-22 09:37:00,           2014-10-22 02:37:00,     20.037937,          7.442780,                    81.921926,      0.985320
                1413971520,           2014-10-22 09:52:00,           2014-10-22 02:52:00,     20.029589,          7.444835,                    81.930961,      0.984903
                1413972420,           2014-10-22 10:07:00,           2014-10-22 03:07:00,     20.029589,          7.457333,                    82.068503,      0.985772
                1413973320,           2014-10-22 10:22:00,           2014-10-22 03:22:00,     20.021241,          7.440650,                    81.871329,      0.984853
                1413974220,           2014-10-22 10:37:00,           2014-10-22 03:37:00,     19.996195,          7.446820,                    81.898458,      0.984404
                1413975120,           2014-10-22 10:52:00,           2014-10-22 03:52:00,     19.987847,          7.455127,                    81.976216,      0.984822
                1413976020,           2014-10-22 11:07:00,           2014-10-22 04:07:00,     19.996195,          7.459319,                    82.035919,      0.985673
                1413976920,           2014-10-22 11:22:00,           2014-10-22 04:22:00,     19.996195,          7.453067,                    81.967161,      0.984838
                1413977820,           2014-10-22 11:37:00,           2014-10-22 04:37:00,     19.987847,          7.473907,                    82.182720,      0.986126
                1413978720,           2014-10-22 11:52:00,           2014-10-22 04:52:00,     19.971149,          7.459249,                    81.994324,      0.984789
                1413979620,           2014-10-22 12:07:00,           2014-10-22 05:07:00,     19.962800,          7.467571,                    82.072179,      0.985207
                1413980520,           2014-10-22 12:22:00,           2014-10-22 05:22:00,     19.971149,          7.459249,                    81.994324,      0.984789
                1413981420,           2014-10-22 12:37:00,           2014-10-22 05:37:00,     19.971149,          7.459249,                    81.994324,      0.984789
                1413982320,           2014-10-22 12:52:00,           2014-10-22 05:52:00,     19.954451,          7.482176,                    82.219045,      0.986060
                1413983220,           2014-10-22 13:07:00,           2014-10-22 06:07:00,     19.937752,          7.467505,                    82.030585,      0.985125
                1413984120,           2014-10-22 13:22:00,           2014-10-22 06:22:00,     19.904353,          7.482047,                    82.135735,      0.985894
                1413985020,           2014-10-22 13:37:00,           2014-10-22 06:37:00,     19.870951,          7.484060,                    82.103227,      0.985395
                1413985920,           2014-10-22 13:52:00,           2014-10-22 06:52:00,     19.837547,          7.486081,                    82.070781,      0.984896
                1413986820,           2014-10-22 14:07:00,           2014-10-22 07:07:00,     19.795788,          7.490187,                    82.047490,      0.984382
                1413987720,           2014-10-22 14:22:00,           2014-10-22 07:22:00,     19.762378,          7.511086,                    82.221625,      0.985185
                1413988620,           2014-10-22 14:37:00,           2014-10-22 07:37:00,     19.745673,          7.502670,                    82.102134,      0.984285
                1413989520,           2014-10-22 14:52:00,           2014-10-22 07:52:00,     19.745673,          7.521560,                    82.308849,      0.985186
                1413990420,           2014-10-22 15:07:00,           2014-10-22 08:07:00,     19.737319,          7.542599,                    82.525323,      0.986475
                1413991320,           2014-10-22 15:22:00,           2014-10-22 08:22:00,     19.737319,          7.529960,                    82.387037,      0.985605
                1413992220,           2014-10-22 15:37:00,           2014-10-22 08:37:00,     19.737319,          7.536277,                    82.456153,      0.985639
                1413993120,           2014-10-22 15:52:00,           2014-10-22 08:52:00,     19.737319,          7.523649,                    82.317987,      0.984770
                1413994020,           2014-10-22 16:07:00,           2014-10-22 09:07:00,     19.737319,          7.536277,                    82.456153,      0.985639
                1413994920,           2014-10-22 16:22:00,           2014-10-22 09:22:00,     19.754026,          7.544738,                    82.576246,      0.985740
                1413995820,           2014-10-22 16:37:00,           2014-10-22 09:37:00,     19.770731,          7.534230,                    82.488716,      0.984936
                1413996720,           2014-10-22 16:52:00,           2014-10-22 09:52:00,     19.795788,          7.534279,                    82.530474,      0.985420
                1413997620,           2014-10-22 17:07:00,           2014-10-22 10:07:00,     19.854249,          7.532303,                    82.604994,      0.985200
                1413998520,           2014-10-22 17:22:00,           2014-10-22 10:22:00,     19.921053,          7.528265,                    82.670568,      0.985800
                1413999420,           2014-10-22 17:37:00,           2014-10-22 10:37:00,     19.979498,          7.526336,                    82.745496,      0.985983
                1414000320,           2014-10-22 17:52:00,           2014-10-22 10:52:00,     20.054632,          7.520275,                    82.802348,      0.986199
                1414001220,           2014-10-22 18:07:00,           2014-10-22 11:07:00,     20.163139,          7.493375,                    82.683929,      0.984800
                1414002120,           2014-10-22 18:22:00,           2014-10-22 11:22:00,     20.279968,          7.496007,                    82.904522,      0.985604
                1414003020,           2014-10-22 18:37:00,           2014-10-22 11:37:00,     20.355059,          7.490094,                    82.962193,      0.985820
                1414003920,           2014-10-22 18:52:00,           2014-10-22 11:52:00,     20.421799,          7.479972,                    82.959342,      0.985582
                1414004820,           2014-10-22 19:07:00,           2014-10-22 12:07:00,     20.455165,          7.490664,                    83.132640,      0.986966
                1414005720,           2014-10-22 19:22:00,           2014-10-22 12:22:00,     20.480189,          7.471930,                    82.965664,      0.985732
                1414006620,           2014-10-22 19:37:00,           2014-10-22 12:37:00,     20.471848,          7.473975,                    82.974721,      0.986120
                1414007520,           2014-10-22 19:52:00,           2014-10-22 12:52:00,     20.496871,          7.467841,                    82.947538,      0.986169
                1414008420,           2014-10-22 20:07:00,           2014-10-22 13:07:00,     20.496871,          7.449019,                    82.738477,      0.985257
                1414009320,           2014-10-22 20:22:00,           2014-10-22 13:22:00,     20.505212,          7.446981,                    82.729441,      0.986082
                1414010220,           2014-10-22 20:37:00,           2014-10-22 13:37:00,     20.521893,          7.442908,                    82.711381,      0.986115
