MiniDOT Logger Concatenated Data File
Sensor:             6881-0672
Concatenation Date: 2014Nov03 08:10:50 MST

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),       (deg C),            (mg/l),                          (%),        (none)
                1413912240,           2014-10-21 17:24:00,           2014-10-21 10:24:00,     25.243936,          7.462819,                    90.722661,      0.995963
                1413913080,           2014-10-21 17:38:00,           2014-10-21 10:38:00,     19.506177,          8.147786,                    88.735859,      0.991583
                1413913980,           2014-10-21 17:53:00,           2014-10-21 10:53:00,     19.330499,          8.154040,                    88.491637,      0.994082
                1413914880,           2014-10-21 18:08:00,           2014-10-21 11:08:00,     19.397434,          8.128974,                    88.338219,      0.994571
                1413915780,           2014-10-21 18:23:00,           2014-10-21 11:23:00,     19.481085,          8.126990,                    88.464898,      0.995219
                1413916680,           2014-10-21 18:38:00,           2014-10-21 11:38:00,     19.589804,          8.118288,                    88.562704,      0.995907
                1413917580,           2014-10-21 18:53:00,           2014-10-21 11:53:00,     19.731930,          8.080107,                    88.396817,      0.994853
                1413918480,           2014-10-21 19:08:00,           2014-10-21 12:08:00,     19.865652,          8.064926,                    88.466232,      0.995581
                1413919380,           2014-10-21 19:23:00,           2014-10-21 12:23:00,     19.924142,          8.022099,                    88.098950,      0.994267
                1413920280,           2014-10-21 19:38:00,           2014-10-21 12:38:00,     19.957562,          8.006463,                    87.985696,      0.994285
                1413921180,           2014-10-21 19:53:00,           2014-10-21 12:53:00,     20.024394,          7.995610,                    87.983203,      0.994843
                1413922080,           2014-10-21 20:08:00,           2014-10-21 13:08:00,     20.116272,          7.978212,                    87.951993,      0.995018
                1413922980,           2014-10-21 20:23:00,           2014-10-21 13:23:00,     20.208132,          7.947403,                    87.771998,      0.994280
                1413923880,           2014-10-21 20:38:00,           2014-10-21 13:38:00,     20.291627,          7.939098,                    87.825282,      0.994898
                1413924780,           2014-10-21 20:53:00,           2014-10-21 13:53:00,     20.341717,          7.919344,                    87.693553,      0.994520
                1413925680,           2014-10-21 21:08:00,           2014-10-21 14:08:00,     20.375108,          7.924114,                    87.804278,      0.995061
                1413926580,           2014-10-21 21:23:00,           2014-10-21 14:23:00,     20.425190,          7.897714,                    87.598324,      0.994226
                1413927480,           2014-10-21 21:38:00,           2014-10-21 14:38:00,     20.483613,          7.896014,                    87.680462,      0.994805
                1413928380,           2014-10-21 21:53:00,           2014-10-21 14:53:00,     20.525340,          7.885248,                    87.632959,      0.995295
                1413929280,           2014-10-21 22:08:00,           2014-10-21 15:08:00,     20.575409,          7.865682,                    87.501764,      0.994492
                1413930180,           2014-10-21 22:23:00,           2014-10-21 15:23:00,     20.558720,          7.876651,                    87.594997,      0.994923
                1413931080,           2014-10-21 22:38:00,           2014-10-21 15:38:00,     20.550375,          7.878799,                    87.604485,      0.995334
                1413931980,           2014-10-21 22:53:00,           2014-10-21 15:53:00,     20.575409,          7.879042,                    87.650388,      0.995830
                1413932880,           2014-10-21 23:08:00,           2014-10-21 16:08:00,     20.592097,          7.874749,                    87.631415,      0.995432
                1413933780,           2014-10-21 23:23:00,           2014-10-21 16:23:00,     20.617129,          7.874998,                    87.677368,      0.995928
                1413934680,           2014-10-21 23:38:00,           2014-10-21 16:38:00,     20.658846,          7.864287,                    87.629992,      0.995145
                1413935580,           2014-10-21 23:53:00,           2014-10-21 16:53:00,     20.725587,          7.840538,                    87.480031,      0.994792
                1413936480,           2014-10-22 00:08:00,           2014-10-21 17:08:00,     20.792321,          7.823518,                    87.404570,      0.994048
                1413937380,           2014-10-22 00:23:00,           2014-10-21 17:23:00,     20.842367,          7.817424,                    87.422262,      0.994159
                1413938280,           2014-10-22 00:38:00,           2014-10-21 17:38:00,     20.859048,          7.826464,                    87.551982,      0.995099
                1413939180,           2014-10-22 00:53:00,           2014-10-21 17:53:00,     20.850707,          7.828586,                    87.561402,      0.995511
                1413940080,           2014-10-22 01:08:00,           2014-10-21 18:08:00,     20.817345,          7.830434,                    87.524794,      0.995001
                1413940980,           2014-10-22 01:23:00,           2014-10-21 18:23:00,     20.758955,          7.838671,                    87.516528,      0.994877
                1413941880,           2014-10-22 01:38:00,           2014-10-21 18:38:00,     20.675532,          7.846678,                    87.462467,      0.994257
                1413942780,           2014-10-22 01:53:00,           2014-10-21 18:53:00,     20.592097,          7.874749,                    87.631415,      0.995432
                1413943680,           2014-10-22 02:08:00,           2014-10-21 19:08:00,     20.508650,          7.876176,                    87.503352,      0.994356
                1413944580,           2014-10-22 02:23:00,           2014-10-21 19:23:00,     20.408496,          7.908739,                    87.691709,      0.995504
                1413945480,           2014-10-22 02:38:00,           2014-10-21 19:38:00,     20.316672,          7.892323,                    87.351088,      0.993051
                1413946380,           2014-10-22 02:53:00,           2014-10-21 19:53:00,     20.249881,          7.909644,                    87.427214,      0.994215
                1413947280,           2014-10-22 03:08:00,           2014-10-21 20:08:00,     20.191432,          7.931568,                    87.568145,      0.994580
                1413948180,           2014-10-22 03:23:00,           2014-10-21 20:23:00,     20.158029,          7.953758,                    87.755032,      0.995862
                1413949080,           2014-10-22 03:38:00,           2014-10-21 20:38:00,     20.141326,          7.951386,                    87.699820,      0.995381
                1413949980,           2014-10-22 03:53:00,           2014-10-21 20:53:00,     20.124623,          7.942282,                    87.570401,      0.994866
                1413950880,           2014-10-22 04:08:00,           2014-10-21 21:08:00,     20.116272,          7.951201,                    87.654223,      0.995309
                1413951780,           2014-10-22 04:23:00,           2014-10-21 21:23:00,     20.107920,          7.933195,                    87.441238,      0.993509
