MiniDOT Logger Concatenated Data File
Sensor:             6881-0672
Concatenation Date: 2016May04 13:49:07 MST

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),       (deg C),            (mg/l),                          (%),        (none)
                1429138020,           2015-04-15 22:47:00,           2015-04-15 15:47:00,     18.821380,          8.530442,                    91.630891,      1.000976
                1429138560,           2015-04-15 22:56:00,           2015-04-15 15:56:00,     19.633233,          8.316507,                    90.803892,      1.001475
                1429139160,           2015-04-15 23:06:00,           2015-04-15 16:06:00,     19.641594,          8.307221,                    90.717660,      1.001472
                1429139760,           2015-04-15 23:16:00,           2015-04-15 16:16:00,     19.583067,          8.323353,                    90.787532,      1.001806
                1429140360,           2015-04-15 23:26:00,           2015-04-15 16:26:00,     19.591428,          8.328039,                    90.853837,      1.003132
                1429140960,           2015-04-15 23:36:00,           2015-04-15 16:36:00,     19.633233,          8.316507,                    90.803892,      1.002338
                1429141560,           2015-04-15 23:46:00,           2015-04-15 16:46:00,     19.700113,          8.305082,                    90.800374,      1.002468
                1429142160,           2015-04-15 23:56:00,           2015-04-15 16:56:00,     19.700113,          8.298106,                    90.724105,      1.002018
                1429142760,           2015-04-16 00:06:00,           2015-04-15 17:06:00,     19.683394,          8.295728,                    90.667832,      1.001541
                1429143360,           2015-04-16 00:16:00,           2015-04-15 17:16:00,     19.683394,          8.316667,                    90.896684,      1.002890
                1429143960,           2015-04-16 00:26:00,           2015-04-15 17:26:00,     19.666674,          8.335274,                    91.069631,      1.003330
                1429144560,           2015-04-16 00:36:00,           2015-04-15 17:36:00,     19.633233,          8.316507,                    90.803892,      1.001907
                1429145160,           2015-04-16 00:46:00,           2015-04-15 17:46:00,     19.591428,          8.321046,                    90.777547,      1.000957
                1429145760,           2015-04-16 00:56:00,           2015-04-15 17:56:00,     19.524531,          8.339534,                    90.857533,      1.001709
                1429146360,           2015-04-16 01:06:00,           2015-04-15 18:06:00,     19.432529,          8.316042,                    90.434735,      1.000575
                1429146960,           2015-04-16 01:16:00,           2015-04-15 18:16:00,     19.357238,          8.343896,                    90.600679,      1.002188
                1429147560,           2015-04-16 01:26:00,           2015-04-15 18:26:00,     19.340505,          8.334547,                    90.468765,      1.001266
                1429148160,           2015-04-16 01:36:00,           2015-04-15 18:36:00,     19.298669,          8.346169,                    90.518816,      1.002057
                1429148760,           2015-04-16 01:46:00,           2015-04-15 18:46:00,     19.214981,          8.348456,                    90.391383,      1.001866
                1429149360,           2015-04-16 01:56:00,           2015-04-15 18:56:00,     19.114531,          8.376507,                    90.511825,      1.002560
                1429149960,           2015-04-16 02:06:00,           2015-04-15 19:06:00,     18.997301,          8.381272,                    90.349393,      1.001869
                1429150560,           2015-04-16 02:16:00,           2015-04-15 19:16:00,     18.905164,          8.400150,                    90.384457,      1.002558
                1429151160,           2015-04-16 02:26:00,           2015-04-15 19:26:00,     18.821380,          8.402663,                    90.258336,      1.001514
                1429151760,           2015-04-16 02:36:00,           2015-04-15 19:36:00,     18.704044,          8.407674,                    90.097625,      1.000402
                1429152360,           2015-04-16 02:46:00,           2015-04-15 19:46:00,     18.569891,          8.445764,                    90.259529,      1.001040
                1429152960,           2015-04-16 02:56:00,           2015-04-15 19:56:00,     18.444066,          8.474631,                    90.336376,      1.002101
                1429153560,           2015-04-16 03:06:00,           2015-04-15 20:06:00,     18.334972,          8.498858,                    90.393298,      1.001911
                1429154160,           2015-04-16 03:16:00,           2015-04-15 20:16:00,     18.251023,          8.508828,                    90.344291,      1.000892
                1429154760,           2015-04-16 03:26:00,           2015-04-15 20:26:00,     18.141850,          8.533285,                    90.401834,      1.001554
                1429155360,           2015-04-16 03:36:00,           2015-04-15 20:36:00,     17.999015,          8.553381,                    90.349784,      1.000853
                1429155960,           2015-04-16 03:46:00,           2015-04-15 20:46:00,     17.864506,          8.585535,                    90.439128,      1.001476
                1429156560,           2015-04-16 03:56:00,           2015-04-15 20:56:00,     17.721506,          8.613212,                    90.463866,      1.002069
                1429157160,           2015-04-16 04:06:00,           2015-04-15 21:06:00,     17.603674,          8.619231,                    90.307196,      1.000970
                1429157760,           2015-04-16 04:16:00,           2015-04-15 21:16:00,     17.494202,          8.637266,                    90.291537,      1.001191
                1429158360,           2015-04-16 04:26:00,           2015-04-15 21:26:00,     17.409954,          8.655109,                    90.320328,      1.001469
                1429158960,           2015-04-16 04:36:00,           2015-04-15 21:36:00,     17.334102,          8.684994,                    90.489735,      1.002219
                1429159560,           2015-04-16 04:46:00,           2015-04-15 21:46:00,     17.258222,          8.685995,                    90.357681,      1.001628
                1429160160,           2015-04-16 04:56:00,           2015-04-15 21:56:00,     17.182313,          8.716063,                    90.527483,      1.002378
                1429160760,           2015-04-16 05:06:00,           2015-04-15 22:06:00,     17.131691,          8.702266,                    90.289005,      1.000543
                1429161360,           2015-04-16 05:16:00,           2015-04-15 22:16:00,     17.089496,          8.751386,                    90.718876,      1.003104
                1429161960,           2015-04-16 05:26:00,           2015-04-15 22:26:00,     17.021964,          8.735395,                    90.425707,      1.001645
                1429162560,           2015-04-16 05:36:00,           2015-04-15 22:36:00,     16.945962,          8.743870,                    90.369960,      1.001497
                1429163160,           2015-04-16 05:46:00,           2015-04-15 22:46:00,     16.869929,          8.766993,                    90.465071,      1.002228
                1429163760,           2015-04-16 05:56:00,           2015-04-15 22:56:00,     16.793864,          8.790217,                    90.560449,      1.002959
                1429164360,           2015-04-16 06:06:00,           2015-04-15 23:06:00,     16.709309,          8.779514,                    90.290063,      1.001482
                1429164960,           2015-04-16 06:16:00,           2015-04-15 23:16:00,     16.624713,          8.790817,                    90.245958,      1.000904
                1429165560,           2015-04-16 06:26:00,           2015-04-15 23:26:00,     16.531609,          8.826805,                    90.438279,      1.002049
                1429166160,           2015-04-16 06:36:00,           2015-04-15 23:36:00,     16.446924,          8.816256,                    90.169336,      1.000997
                1429166760,           2015-04-16 06:46:00,           2015-04-15 23:46:00,     16.362195,          8.849835,                    90.351270,      1.001733
                1429167360,           2015-04-16 06:56:00,           2015-04-15 23:56:00,     16.294380,          8.863552,                    90.361894,      1.001620
                1429167960,           2015-04-16 07:06:00,           2015-04-16 00:06:00,     16.235018,          8.874678,                    90.361923,      1.001936
                1429168560,           2015-04-16 07:16:00,           2015-04-16 00:16:00,     16.192603,          8.902719,                    90.566173,      1.001916
                1429169160,           2015-04-16 07:26:00,           2015-04-16 00:26:00,     16.167148,          8.888501,                    90.372851,      1.001823
                1429169760,           2015-04-16 07:36:00,           2015-04-16 00:36:00,     16.124715,          8.901793,                    90.426730,      1.001764
                1429170360,           2015-04-16 07:46:00,           2015-04-16 00:46:00,     16.090759,          8.912451,                    90.469899,      1.002136
                1429170960,           2015-04-16 07:56:00,           2015-04-16 00:56:00,     16.048304,          8.910981,                    90.373612,      1.002038
                1429171560,           2015-04-16 08:06:00,           2015-04-16 01:06:00,     15.997342,          8.934444,                    90.513663,      1.002823
                1429172160,           2015-04-16 08:16:00,           2015-04-16 01:16:00,     15.971854,          8.920228,                    90.320762,      1.001895
                1429172760,           2015-04-16 08:26:00,           2015-04-16 01:26:00,     15.937864,          8.930949,                    90.364060,      1.002266
                1429173360,           2015-04-16 08:36:00,           2015-04-16 01:36:00,     15.929365,          8.926215,                    90.299854,      1.001818
                1429173960,           2015-04-16 08:46:00,           2015-04-16 01:46:00,     15.903865,          8.926851,                    90.257362,      1.001348
                1429174560,           2015-04-16 08:56:00,           2015-04-16 01:56:00,     15.895365,          8.922124,                    90.193270,      1.001317
                1429175160,           2015-04-16 09:06:00,           2015-04-16 02:06:00,     15.886863,          8.939643,                    90.354034,      1.002177
                1429175760,           2015-04-16 09:16:00,           2015-04-16 02:16:00,     15.869859,          8.937599,                    90.300717,      1.001718
                1429176360,           2015-04-16 09:26:00,           2015-04-16 02:26:00,     15.869859,          8.937599,                    90.300717,      1.002135
                1429176960,           2015-04-16 09:36:00,           2015-04-16 02:36:00,     15.861356,          8.940289,                    90.311560,      1.002123
                1429177560,           2015-04-16 09:46:00,           2015-04-16 02:46:00,     15.852853,          8.935558,                    90.247443,      1.002092
                1429178160,           2015-04-16 09:56:00,           2015-04-16 02:56:00,     15.844349,          8.945673,                    90.333256,      1.002100
                1429178760,           2015-04-16 10:06:00,           2015-04-16 03:06:00,     15.818835,          8.938905,                    90.215912,      1.001610
                1429179360,           2015-04-16 10:16:00,           2015-04-16 03:16:00,     15.810329,          8.941599,                    90.226761,      1.001599
                1429179960,           2015-04-16 10:26:00,           2015-04-16 03:26:00,     15.801822,          8.951723,                    90.312560,      1.002023
                1429180560,           2015-04-16 10:36:00,           2015-04-16 03:36:00,     15.784808,          8.949690,                    90.259339,      1.002397
                1429181160,           2015-04-16 10:46:00,           2015-04-16 03:46:00,     15.767792,          8.947660,                    90.206162,      1.001938
                1429181760,           2015-04-16 10:56:00,           2015-04-16 03:56:00,     15.742264,          8.955765,                    90.238768,      1.001488
                1429182360,           2015-04-16 11:06:00,           2015-04-16 04:06:00,     15.725242,          8.976065,                    90.410499,      1.002753
                1429182960,           2015-04-16 11:16:00,           2015-04-16 04:16:00,     15.708219,          8.959152,                    90.207393,      1.002255
                1429183560,           2015-04-16 11:26:00,           2015-04-16 04:26:00,     15.674165,          8.984894,                    90.400883,      1.003081
                1429184160,           2015-04-16 11:36:00,           2015-04-16 04:36:00,     15.648620,          8.970689,                    90.208762,      1.002156
                1429184760,           2015-04-16 11:46:00,           2015-04-16 04:46:00,     15.631587,          8.976121,                    90.230564,      1.002133
                1429185360,           2015-04-16 11:56:00,           2015-04-16 04:56:00,     15.631587,          8.976121,                    90.230564,      1.002133
                1429185960,           2015-04-16 12:06:00,           2015-04-16 05:06:00,     15.623070,          8.956521,                    90.017164,      1.000818
                1429186560,           2015-04-16 12:16:00,           2015-04-16 05:16:00,     15.623070,          8.978839,                    90.241470,      1.002122
                1429187160,           2015-04-16 12:26:00,           2015-04-16 05:26:00,     15.631587,          8.983572,                    90.305463,      1.002568
                1429187760,           2015-04-16 12:36:00,           2015-04-16 05:36:00,     15.631587,          8.968677,                    90.155735,      1.001698
                1429188360,           2015-04-16 12:46:00,           2015-04-16 05:46:00,     15.648620,          8.970689,                    90.208762,      1.001325
                1429188960,           2015-04-16 12:56:00,           2015-04-16 05:56:00,     15.665651,          8.972705,                    90.261842,      1.001782
                1429189560,           2015-04-16 13:06:00,           2015-04-16 06:06:00,     15.665651,          8.995075,                    90.486876,      1.002673
                1429190160,           2015-04-16 13:16:00,           2015-04-16 06:16:00,     15.665651,          8.980155,                    90.336786,      1.001802
                1429190760,           2015-04-16 13:26:00,           2015-04-16 06:26:00,     15.648620,          9.000519,                    90.508731,      1.002235
                1429191360,           2015-04-16 13:36:00,           2015-04-16 06:36:00,     15.640104,          8.988310,                    90.369525,      1.001352
                1429191960,           2015-04-16 13:46:00,           2015-04-16 06:46:00,     15.614552,          9.003947,                    90.477354,      1.002170
                1429192560,           2015-04-16 13:56:00,           2015-04-16 06:56:00,     15.597515,          9.016885,                    90.574389,      1.002583
                1429193160,           2015-04-16 14:06:00,           2015-04-16 07:06:00,     15.640104,          9.003244,                    90.519673,      1.001807
                1429193760,           2015-04-16 14:16:00,           2015-04-16 07:16:00,     15.674165,          9.007300,                    90.626320,      1.001892
                1429194360,           2015-04-16 14:26:00,           2015-04-16 07:26:00,     15.708219,          9.003891,                    90.657858,      1.001540
                1429194960,           2015-04-16 14:36:00,           2015-04-16 07:36:00,     15.742264,          9.015459,                    90.840248,      1.002061
                1429195560,           2015-04-16 14:46:00,           2015-04-16 07:46:00,     15.759283,          9.010020,                    90.818379,      1.001249
                1429196160,           2015-04-16 14:56:00,           2015-04-16 07:56:00,     15.776300,          9.027062,                    91.023153,      1.003002
                1429196760,           2015-04-16 15:06:00,           2015-04-16 08:06:00,     15.776300,          9.019563,                    90.947538,      1.002147
                1429197360,           2015-04-16 15:16:00,           2015-04-16 08:16:00,     15.793316,          9.014125,                    90.925653,      1.001752
                1429197960,           2015-04-16 15:26:00,           2015-04-16 08:26:00,     15.801822,          9.026401,                    91.065975,      1.002221
                1429198560,           2015-04-16 15:36:00,           2015-04-16 08:36:00,     15.801822,          9.018901,                    90.990308,      1.001783
                1429199160,           2015-04-16 15:46:00,           2015-04-16 08:46:00,     15.801822,          9.041422,                    91.217519,      1.002679
                1429199760,           2015-04-16 15:56:00,           2015-04-16 08:56:00,     15.818835,          9.005979,                    90.892857,      1.000533
                1429200360,           2015-04-16 16:06:00,           2015-04-16 09:06:00,     15.912366,          9.028617,                    91.302791,      1.000793
                1429200960,           2015-04-16 16:16:00,           2015-04-16 09:16:00,     15.988846,          9.034274,                    91.508525,      1.000555
                1429201560,           2015-04-16 16:26:00,           2015-04-16 09:26:00,     16.107738,          9.026486,                    91.660429,      0.999953
                1429202160,           2015-04-16 16:36:00,           2015-04-16 09:36:00,     16.175634,          9.034993,                    91.878789,      1.000543
                1429202760,           2015-04-16 16:46:00,           2015-04-16 09:46:00,     16.260462,          9.038175,                    92.076145,      1.000738
                1429203360,           2015-04-16 16:56:00,           2015-04-16 09:56:00,     16.336768,          9.021518,                    92.054652,      1.000863
                1429203960,           2015-04-16 17:06:00,           2015-04-16 10:06:00,     16.396092,          9.010286,                    92.055148,      1.000542
                1429204560,           2015-04-16 17:16:00,           2015-04-16 10:16:00,     16.429982,          9.007106,                    92.088406,      1.000185
                1429205160,           2015-04-16 17:26:00,           2015-04-16 10:26:00,     16.531609,          9.005146,                    92.265537,      1.000828
                1429205760,           2015-04-16 17:36:00,           2015-04-16 10:36:00,     16.599326,          8.991373,                    92.255647,      1.000519
                1429206360,           2015-04-16 17:46:00,           2015-04-16 10:46:00,     16.709309,          8.971921,                    92.268810,      1.000288
                1429206960,           2015-04-16 17:56:00,           2015-04-16 10:56:00,     16.760047,          8.971057,                    92.358095,      1.000399
                1429207560,           2015-04-16 18:06:00,           2015-04-16 11:06:00,     16.836126,          8.939875,                    92.183802,      0.999638
