MiniDOT Logger Concatenated Data File
Sensor:             6881-0660
Concatenation Date: 2016Jun07 14:48:53 MST

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),       (deg C),            (mg/l),                          (%),        (none)
                1463423700,           2016-05-16 18:35:00,           2016-05-16 11:35:00,     22.300465,          6.882846,                    79.177689,      0.995176
                1463424540,           2016-05-16 18:49:00,           2016-05-16 11:49:00,     23.232917,          6.775490,                    79.338548,      0.995427
                1463425440,           2016-05-16 19:04:00,           2016-05-16 12:04:00,     23.599181,          6.741680,                    79.489617,      0.995903
                1463426340,           2016-05-16 19:19:00,           2016-05-16 12:19:00,     23.416051,          6.758532,                    79.414047,      0.994258
                1463427240,           2016-05-16 19:34:00,           2016-05-16 12:34:00,     23.207943,          6.786536,                    79.430379,      0.994596
                1463428140,           2016-05-16 19:49:00,           2016-05-16 12:49:00,     23.091399,          6.806154,                    79.484470,      0.994748
                1463429040,           2016-05-16 20:04:00,           2016-05-16 13:04:00,     23.024801,          6.809301,                    79.420913,      0.994573
                1463429940,           2016-05-16 20:19:00,           2016-05-16 13:19:00,     22.974852,          6.825853,                    79.538571,      0.995299
                1463430840,           2016-05-16 20:34:00,           2016-05-16 13:34:00,     22.941553,          6.821759,                    79.440639,      0.994787
                1463431740,           2016-05-16 20:49:00,           2016-05-16 13:49:00,     22.924903,          6.825391,                    79.457810,      0.994754
                1463432640,           2016-05-16 21:04:00,           2016-05-16 14:04:00,     22.933228,          6.823575,                    79.449228,      0.995172
                1463433540,           2016-05-16 21:19:00,           2016-05-16 14:19:00,     22.949878,          6.819945,                    79.432068,      0.995205
                1463434440,           2016-05-16 21:34:00,           2016-05-16 14:34:00,     22.966528,          6.810649,                    79.348870,      0.994414
                1463435340,           2016-05-16 21:49:00,           2016-05-16 14:49:00,     23.016477,          6.811112,                    79.429497,      0.994958
                1463436240,           2016-05-16 22:04:00,           2016-05-16 15:04:00,     23.066425,          6.800255,                    79.378011,      0.993852
                1463437140,           2016-05-16 22:19:00,           2016-05-16 15:19:00,     23.124698,          6.810252,                    79.582499,      0.995259
