MiniDOT Logger Concatenated Data File
Sensor:             6881-0672
Concatenation Date: 2016Jun07 14:49:33 MST

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),       (deg C),            (mg/l),                          (%),        (none)
                1463423760,           2016-05-16 18:36:00,           2016-05-16 11:36:00,     22.235667,          6.930073,                    79.621955,      1.002706
                1463424600,           2016-05-16 18:50:00,           2016-05-16 11:50:00,     23.192918,          6.845829,                    80.101586,      1.003818
                1463425500,           2016-05-16 19:05:00,           2016-05-16 12:05:00,     23.642175,          6.788588,                    80.107405,      1.003424
                1463426400,           2016-05-16 19:20:00,           2016-05-16 12:20:00,     23.251163,          6.827512,                    79.975283,      1.001828
                1463427300,           2016-05-16 19:35:00,           2016-05-16 12:35:00,     23.059777,          6.863390,                    80.104880,      1.002730
                1463428200,           2016-05-16 19:50:00,           2016-05-16 12:50:00,     22.976557,          6.864413,                    79.990481,      1.002136
                1463429100,           2016-05-16 20:05:00,           2016-05-16 13:05:00,     22.934946,          6.867788,                    79.966624,      1.002052
                1463430000,           2016-05-16 20:20:00,           2016-05-16 13:20:00,     22.918301,          6.877139,                    80.050197,      1.002448
                1463430900,           2016-05-16 20:35:00,           2016-05-16 13:35:00,     22.901656,          6.892233,                    80.200531,      1.003271
                1463431800,           2016-05-16 20:50:00,           2016-05-16 13:50:00,     22.901656,          6.875062,                    80.000723,      1.001578
                1463432700,           2016-05-16 21:05:00,           2016-05-16 14:05:00,     22.909978,          6.878960,                    80.058737,      1.002434
                1463433600,           2016-05-16 21:20:00,           2016-05-16 14:20:00,     22.918301,          6.882860,                    80.116790,      1.003290
                1463434500,           2016-05-16 21:35:00,           2016-05-16 14:35:00,     22.934946,          6.873500,                    80.033133,      1.002062
                1463435400,           2016-05-16 21:50:00,           2016-05-16 14:50:00,     22.951591,          6.869863,                    80.016066,      1.002507
                1463436300,           2016-05-16 22:05:00,           2016-05-16 15:05:00,     22.993202,          6.872203,                    80.106552,      1.002602
                1463437200,           2016-05-16 22:20:00,           2016-05-16 15:20:00,     23.026490,          6.876368,                    80.205724,      1.003098
                1463438100,           2016-05-16 22:35:00,           2016-05-16 15:35:00,     23.159634,          6.858766,                    80.202439,      1.003354
                1463439000,           2016-05-16 22:50:00,           2016-05-16 15:50:00,     23.242842,          6.840688,                    80.117022,      1.003083
                1463439900,           2016-05-16 23:05:00,           2016-05-16 16:05:00,     23.259483,          6.842772,                    80.166636,      1.002289
                1463440800,           2016-05-16 23:20:00,           2016-05-16 16:20:00,     23.309405,          6.831954,                    80.115408,      1.002376
                1463441700,           2016-05-16 23:35:00,           2016-05-16 16:35:00,     23.292765,          6.835557,                    80.132475,      1.001930
                1463442600,           2016-05-16 23:50:00,           2016-05-16 16:50:00,     23.151312,          6.849170,                    80.077616,      1.002068
                1463443500,           2016-05-17 00:05:00,           2016-05-16 17:05:00,     22.976557,          6.875839,                    80.123627,      1.002156
                1463444400,           2016-05-17 00:20:00,           2016-05-16 17:20:00,     22.760163,          6.906094,                    80.145876,      1.001742
                1463445300,           2016-05-17 00:35:00,           2016-05-16 17:35:00,     22.527082,          6.946060,                    80.252166,      1.002551
                1463446200,           2016-05-17 00:50:00,           2016-05-16 17:50:00,     22.169047,          6.967971,                    79.955048,      1.000978
                1463447100,           2016-05-17 01:05:00,           2016-05-16 18:05:00,     21.810894,          7.007799,                    79.859248,      1.000264
                1463448000,           2016-05-17 01:20:00,           2016-05-16 18:20:00,     21.452606,          7.065827,                    79.963711,      1.001633
                1463448900,           2016-05-17 01:35:00,           2016-05-16 18:35:00,     21.069150,          7.101123,                    79.765127,      1.000031
                1463449800,           2016-05-17 01:50:00,           2016-05-16 18:50:00,     20.635426,          7.166633,                    79.819416,      1.001232
                1463450700,           2016-05-17 02:05:00,           2016-05-16 19:05:00,     20.184688,          7.237491,                    79.894542,      1.001585
                1463451600,           2016-05-17 02:20:00,           2016-05-16 19:20:00,     19.741907,          7.271825,                    79.570006,      0.999865
                1463452500,           2016-05-17 02:35:00,           2016-05-16 19:35:00,     19.323771,          7.337363,                    79.617899,      1.000687
                1463453400,           2016-05-17 02:50:00,           2016-05-16 19:50:00,     18.880031,          7.374119,                    79.304180,      0.998995
                1463454300,           2016-05-17 03:05:00,           2016-05-16 20:05:00,     18.444066,          7.434451,                    79.248449,      0.998977
                1463455200,           2016-05-17 03:20:00,           2016-05-16 20:20:00,     18.015824,          7.506507,                    79.318959,      1.000592
                1463456100,           2016-05-17 03:35:00,           2016-05-16 20:35:00,     17.603674,          7.569721,                    79.311052,      1.000637
                1463457000,           2016-05-17 03:50:00,           2016-05-16 20:50:00,     17.216054,          7.627818,                    79.280280,      1.001125
                1463457900,           2016-05-17 04:05:00,           2016-05-16 21:05:00,     16.844577,          7.676508,                    79.170551,      1.000452
                1463458800,           2016-05-17 04:20:00,           2016-05-16 21:20:00,     16.480803,          7.724146,                    79.056023,      1.000588
                1463459700,           2016-05-17 04:35:00,           2016-05-16 21:35:00,     16.133202,          7.781050,                    79.056138,      1.000779
                1463460600,           2016-05-17 04:50:00,           2016-05-16 21:50:00,     15.776300,          7.841605,                    79.069758,      1.001354
                1463461500,           2016-05-17 05:05:00,           2016-05-16 22:05:00,     15.435554,          7.885868,                    78.939314,      1.000767
                1463462400,           2016-05-17 05:20:00,           2016-05-16 22:20:00,     15.085369,          7.946666,                    78.951505,      1.001750
                1463463300,           2016-05-17 05:35:00,           2016-05-16 22:35:00,     14.734181,          7.995860,                    78.839365,      1.001552
                1463464200,           2016-05-17 05:50:00,           2016-05-16 22:50:00,     14.390519,          8.056943,                    78.850061,      1.001784
                1463465100,           2016-05-17 06:05:00,           2016-05-16 23:05:00,     14.063022,          8.101153,                    78.716739,      1.001633
                1463466000,           2016-05-17 06:20:00,           2016-05-16 23:20:00,     13.751786,          8.154570,                    78.695141,      1.001537
                1463466900,           2016-05-17 06:35:00,           2016-05-16 23:35:00,     13.474289,          8.205278,                    78.700132,      1.001885
                1463467800,           2016-05-17 06:50:00,           2016-05-16 23:50:00,     13.195954,          8.250293,                    78.644039,      1.002220
                1463468700,           2016-05-17 07:05:00,           2016-05-17 00:05:00,     12.934217,          8.304296,                    78.697645,      1.002606
                1463469600,           2016-05-17 07:20:00,           2016-05-17 00:20:00,     12.680437,          8.329499,                    78.488543,      1.002191
                1463470500,           2016-05-17 07:35:00,           2016-05-17 00:35:00,     12.434659,          8.386518,                    78.589575,      1.002615
                1463471400,           2016-05-17 07:50:00,           2016-05-17 00:50:00,     12.188115,          8.424025,                    78.502013,      1.002621
                1463472300,           2016-05-17 08:05:00,           2016-05-17 01:05:00,     11.931925,          8.465154,                    78.427422,      1.002994
                1463473200,           2016-05-17 08:20:00,           2016-05-17 01:20:00,     11.683724,          8.518017,                    78.471396,      1.003032
                1463474100,           2016-05-17 08:35:00,           2016-05-17 01:35:00,     11.416836,          8.563846,                    78.412298,      1.003022
                1463475000,           2016-05-17 08:50:00,           2016-05-17 01:50:00,     11.166811,          8.604733,                    78.334239,      1.002662
                1463475900,           2016-05-17 09:05:00,           2016-05-17 02:05:00,     10.906873,          8.649483,                    78.269448,      1.003037
