"","Month","RM","chia","sima","tota"
"6",4,2.9,86.8,3.2,90.2
"7",4,4,48.2,1.2,49.5
"8",4,5,204.2,0.5,204.8
"9",4,6,139.8,1,140.8
"10",4,7,136.8,2.8,139.5
"11",5,2.9,14.5,0,14.5
"12",5,4,105.9,0.5,106.5
"13",5,5,108.2,0.4,108.6
"14",5,6,32.8,0.4,33.1
"15",5,7,26.8,1,27.8
"16",6,2.9,2.9,0,2.9
"17",6,4,3.4,0,3.4
"18",6,5,9.2,0.1,9.4
"19",6,6,8.8,0.1,8.9
"20",6,7,18.1,0.4,18.5
"21",9,2.9,8.9,0,8.9
"22",9,5,11.3,0,11.6
"23",9,6,7.4,0,7.4
"1",10,2.9,2,0,2
"2",10,4,1.1,0,1.1
"3",10,5,2.9,0.2,3.4
"4",10,6,0.9,0,1
"5",10,7,1.2,3.4,4.8
