SAMPLE_ID,TRIP_ID,START_DATETIME,START_RKM,CATCH_PER_HOUR
451193,LC20140415,4/15/2014,4.6,0.11
451194,LC20140415,4/16/2014,4.6,0.07
451195,LC20140415,4/17/2014,4.6,0.09
451196,LC20140415,4/15/2014,4.48,0.16
451200,LC20140415,4/16/2014,4.44,0.49
451202,LC20140415,4/15/2014,4.23,0.69
451204,LC20140415,4/17/2014,4.23,0.25
451205,LC20140415,4/15/2014,4.15,0.21
451207,LC20140415,4/17/2014,4.15,0.17
451209,LC20140415,4/16/2014,4.1,0.36
451213,LC20140415,4/17/2014,4,0.32
451214,LC20140415,4/15/2014,3.78,0.29
451215,LC20140415,4/16/2014,3.78,0.04
451216,LC20140415,4/17/2014,3.78,0.04
451217,LC20140415,4/15/2014,3.81,0.23
451219,LC20140415,4/17/2014,3.81,0.93
451221,LC20140415,4/16/2014,3.79,0.09
451223,LC20140415,4/15/2014,3.42,0.40
451224,LC20140415,4/16/2014,3.42,0.19
451225,LC20140415,4/17/2014,3.42,0.07
451226,LC20140415,4/15/2014,3.33,0.04
451229,LC20140415,4/15/2014,3.19,0.13
451230,LC20140415,4/16/2014,3.19,0.10
451232,LC20140415,4/15/2014,3.16,0.13
451234,LC20140415,4/17/2014,3.16,0.14
451235,LC20140415,4/15/2014,3.13,0.17
451236,LC20140415,4/16/2014,3.13,0.05
451238,LC20140415,4/15/2014,3.1,0.41
451239,LC20140415,4/16/2014,3.1,0.21
451245,LC20140415,4/16/2014,2.98,0.16
451247,LC20140415,4/15/2014,2.94,0.31
451248,LC20140415,4/16/2014,2.94,0.37
451251,LC20140415,4/19/2014,2.92,0.26
451253,LC20140415,4/18/2014,12.23,0.36
451254,LC20140415,4/16/2014,12.12,2.18
451255,LC20140415,4/17/2014,12.12,0.53
451256,LC20140415,4/18/2014,12.12,1.62
451257,LC20140415,4/16/2014,12.1,0.12
451258,LC20140415,4/17/2014,12.1,0.05
451260,LC20140415,4/18/2014,2.86,0.22
451261,LC20140415,4/19/2014,2.86,0.18
451262,LC20140415,4/20/2014,2.86,0.14
451263,LC20140415,4/18/2014,2.85,0.13
451266,LC20140415,4/18/2014,2.83,0.22
451267,LC20140415,4/20/2014,2.54,0.37
451268,LC20140415,4/18/2014,2.51,0.04
451269,LC20140415,4/19/2014,2.51,0.35
451270,LC20140415,4/20/2014,2.51,0.05
451271,LC20140415,4/18/2014,2.48,4.13
451272,LC20140415,4/19/2014,2.48,0.54
451273,LC20140415,4/20/2014,2.48,0.44
451274,LC20140415,4/19/2014,2.4,0.04
451275,LC20140415,4/20/2014,2.4,0.24
451276,LC20140415,4/18/2014,2.3,2.95
451278,LC20140415,4/20/2014,2.3,0.04
451279,LC20140415,4/18/2014,2.1,0.22
451280,LC20140415,4/19/2014,2.1,0.61
451281,LC20140415,4/18/2014,2.15,0.21
451283,LC20140415,4/20/2014,2.15,0.19
451286,LC20140415,4/20/2014,2.1,0.22
451287,LC20140415,4/18/2014,2.05,0.23
451288,LC20140415,4/20/2014,2.02,0.04
451290,LC20140415,4/22/2014,1.91,0.08
451291,LC20140415,4/23/2014,1.91,0.04
451295,LC20140415,4/22/2014,1.56,0.23
451296,LC20140415,4/23/2014,1.56,0.22
451297,LC20140415,4/21/2014,1.5,0.05
451299,LC20140415,4/23/2014,1.5,0.15
451302,LC20140415,4/21/2014,1.19,0.30
451304,LC20140415,4/23/2014,1.19,1.15
451305,LC20140415,4/21/2014,1.25,0.05
451306,LC20140415,4/22/2014,1.25,0.04
451307,LC20140415,4/23/2014,1.25,0.18
451308,LC20140415,4/21/2014,1.23,0.10
451309,LC20140415,4/23/2014,0.78,0.09
451311,LC20140415,4/22/2014,0.69,0.19
451313,LC20140415,4/21/2014,0.61,0.05
451315,LC20140415,4/23/2014,0.61,0.05
451316,LC20140415,4/19/2014,2.83,0.04
451317,LC20140415,4/20/2014,2.83,0.24
451318,LC20140415,4/18/2014,2.8,0.35
451319,LC20140415,4/19/2014,2.8,0.11
451320,LC20140415,4/20/2014,2.8,0.05
451322,LC20140415,4/19/2014,2.54,0.04
451324,LC20140415,4/19/2014,2.45,0.51
451325,LC20140415,4/20/2014,2.45,0.09
451326,LC20140415,4/19/2014,2.43,2.00
451328,LC20140415,4/20/2014,2.43,0.66
451330,LC20140415,4/20/2014,2.1,0.20
451331,LC20140415,4/18/2014,2.22,0.19
451333,LC20140415,4/20/2014,2.22,0.08
451334,LC20140415,4/18/2014,2.2,0.51
451335,LC20140415,4/19/2014,2.2,0.30
451336,LC20140415,4/20/2014,2.2,0.49
451337,LC20140415,4/19/2014,2.05,0.21
451338,LC20140415,4/20/2014,2.05,0.36
451340,LC20140415,4/19/2014,2.02,0.11
451341,LC20140415,4/20/2014,2.02,0.29
451342,LC20140415,4/18/2014,2.02,0.31
451343,LC20140415,4/19/2014,2.02,0.16
451344,LC20140415,4/21/2014,1.8,0.31
451345,LC20140415,4/22/2014,1.8,0.14
451347,LC20140415,4/21/2014,1.68,0.18
451348,LC20140415,4/22/2014,1.68,0.09
451349,LC20140415,4/23/2014,1.68,0.11
451352,LC20140415,4/21/2014,1.34,1.44
451353,LC20140415,4/22/2014,1.34,0.48
451354,LC20140415,4/23/2014,1.34,1.29
451355,LC20140415,4/21/2014,1.32,0.34
451356,LC20140415,4/22/2014,1.32,1.66
451357,LC20140415,4/23/2014,1.32,0.16
451358,LC20140415,4/22/2014,1.23,0.12
451359,LC20140415,4/23/2014,1.23,0.26
451360,LC20140415,4/21/2014,1.17,0.10
451361,LC20140415,4/22/2014,1.17,0.16
451364,LC20140415,4/22/2014,0.78,0.08
451365,LC20140415,4/21/2014,0.31,0.11
451366,LC20140415,4/22/2014,0.31,0.15
451370,LC20140415,4/23/2014,0.25,0.05
451371,LC20140415,4/21/2014,0.21,0.11
451372,LC20140415,4/22/2014,0.21,0.04
451374,LC20140415,4/21/2014,0.2,0.45
451375,LC20140415,4/22/2014,0.2,0.22
451376,LC20140415,4/23/2014,0.2,0.10
451377,LC20140415,4/16/2014,4.88,0.19
451378,LC20140415,4/17/2014,4.88,0.30
451379,LC20140415,4/17/2014,5.78,0.05
451380,LC20140415,4/16/2014,5.85,0.46
451381,LC20140415,4/17/2014,5.85,0.27
451382,LC20140415,4/16/2014,5.94,0.04
451383,LC20140415,4/17/2014,5.94,0.34
451388,LC20140415,4/17/2014,6.22,0.11
451389,LC20140415,4/16/2014,6.25,0.90
451390,LC20140415,4/17/2014,6.25,0.08
451391,LC20140415,4/16/2014,6.31,0.70
451392,LC20140415,4/17/2014,6.31,0.54
451393,LC20140415,4/17/2014,6.36,0.24
451396,LC20140415,4/18/2014,6.45,0.27
451398,LC20140415,4/20/2014,6.44,0.10
451399,LC20140415,4/18/2014,6.48,0.65
451400,LC20140415,4/20/2014,6.55,0.15
451401,LC20140415,4/18/2014,6.58,0.84
451402,LC20140415,4/19/2014,6.58,0.19
451403,LC20140415,4/20/2014,6.58,0.09
451406,LC20140415,4/20/2014,6.65,0.96
451407,LC20140415,4/19/2014,7.05,0.28
451408,LC20140415,4/20/2014,7.05,0.19
451409,LC20140415,4/18/2014,7.56,0.66
451410,LC20140415,4/19/2014,7.5,0.75
451411,LC20140415,4/20/2014,7.5,0.33
451412,LC20140415,4/18/2014,7.57,0.14
451413,LC20140415,4/19/2014,7.57,0.05
451415,LC20140415,4/19/2014,7.8,0.11
451417,LC20140415,4/18/2014,7.85,0.10
451418,LC20140415,4/19/2014,7.85,0.38
451419,LC20140415,4/20/2014,7.85,0.21
451421,LC20140415,4/20/2014,7.95,0.07
451423,LC20140415,4/19/2014,7.97,0.06
451425,LC20140415,4/18/2014,7.98,0.88
451427,LC20140415,4/20/2014,7.98,0.03
451428,LC20140415,4/16/2014,4.97,0.41
451429,LC20140415,4/17/2014,4.97,0.10
451431,LC20140415,4/17/2014,5,0.34
451432,LC20140415,4/16/2014,5.02,0.30
451434,LC20140415,4/16/2014,5.78,0.30
451439,LC20140415,4/16/2014,6.09,0.12
451441,LC20140415,4/16/2014,6.16,0.24
451442,LC20140415,4/16/2014,6.33,0.04
451443,LC20140415,4/17/2014,6.33,0.18
451444,LC20140415,4/16/2014,6.34,0.08
451445,LC20140415,4/17/2014,6.34,0.04
451446,LC20140415,4/16/2014,6.35,0.25
451447,LC20140415,4/17/2014,6.35,0.07
451448,LC20140415,4/16/2014,6.36,0.34
451449,LC20140415,4/19/2014,6.48,0.14
451450,LC20140415,4/20/2014,6.48,0.51
451451,LC20140415,4/18/2014,6.52,0.52
451452,LC20140415,4/19/2014,6.52,0.04
451454,LC20140415,4/18/2014,6.55,0.38
451455,LC20140415,4/19/2014,6.55,0.29
451456,LC20140415,4/18/2014,6.69,1.93
451457,LC20140415,4/19/2014,6.69,0.34
451458,LC20140415,4/20/2014,6.69,10.97
451459,LC20140415,4/18/2014,6.81,5.70
451462,LC20140415,4/18/2014,7.05,0.93
451464,LC20140415,4/18/2014,7.59,0.03
451465,LC20140415,4/19/2014,7.6,0.10
451466,LC20140415,4/20/2014,7.6,0.04
451469,LC20140415,4/20/2014,7.62,0.11
451470,LC20140415,4/19/2014,7.89,0.55
451471,LC20140415,4/20/2014,7.89,0.14
451472,LC20140415,4/18/2014,7.95,0.10
451475,LC20140415,4/18/2014,7.95,0.65
451479,LC20140415,4/23/2014,7.99,0.30
451480,LC20140415,4/21/2014,8.07,1.40
451481,LC20140415,4/22/2014,8.07,0.14
451482,LC20140415,4/23/2014,8.07,0.05
451483,LC20140415,4/21/2014,8.17,0.23
451484,LC20140415,4/22/2014,8.17,0.33
451485,LC20140415,4/23/2014,8.17,0.05
451486,LC20140415,4/21/2014,8.23,2.42
451487,LC20140415,4/22/2014,8.23,0.50
451488,LC20140415,4/23/2014,8.23,0.37
451489,LC20140415,4/21/2014,8.28,1.10
451490,LC20140415,4/22/2014,8.28,0.08
451492,LC20140415,4/22/2014,8.45,0.17
451496,LC20140415,4/23/2014,8.49,5.99
451498,LC20140415,4/23/2014,8.69,0.08
451500,LC20140415,4/22/2014,8.8,0.14
451501,LC20140415,4/23/2014,8.8,0.11
451502,LC20140415,4/21/2014,9.06,0.46
451504,LC20140415,4/23/2014,9.06,0.22
451505,LC20140415,4/22/2014,9.31,0.36
451506,LC20140415,4/23/2014,9.31,0.07
451507,LC20140415,4/21/2014,9.34,0.42
451508,LC20140415,4/22/2014,9.34,0.31
451509,LC20140415,4/23/2014,9.34,0.14
451511,LC20140415,4/22/2014,9.49,0.22
451512,LC20140415,4/16/2014,13.55,1.91
451513,LC20140415,4/17/2014,13.55,1.30
451515,LC20140415,4/16/2014,13.55,0.52
451516,LC20140415,4/17/2014,13.55,0.21
451517,LC20140415,4/18/2014,13.55,0.25
451519,LC20140415,4/18/2014,13.32,0.09
451521,LC20140415,4/17/2014,13.25,1.62
451523,LC20140415,4/16/2014,13.23,0.09
451524,LC20140415,4/17/2014,13.23,0.15
451525,LC20140415,4/16/2014,12.96,0.58
451526,LC20140415,4/17/2014,12.96,0.66
451527,LC20140415,4/18/2014,12.96,0.21
451530,LC20140415,4/18/2014,12.88,0.08
451532,LC20140415,4/18/2014,12.76,1.11
451533,LC20140415,4/16/2014,12.64,0.70
451534,LC20140415,4/17/2014,12.64,0.69
451535,LC20140415,4/18/2014,12.63,0.32
451536,LC20140415,4/16/2014,12.49,0.34
451537,LC20140415,4/17/2014,12.49,0.32
451538,LC20140415,4/18/2014,12.49,0.27
451539,LC20140415,4/23/2014,8.28,0.09
451540,LC20140415,4/21/2014,8.37,1.64
451542,LC20140415,4/23/2014,8.37,0.27
451543,LC20140415,4/21/2014,8.42,0.49
451544,LC20140415,4/22/2014,8.42,0.82
451545,LC20140415,4/23/2014,8.42,0.04
451549,LC20140415,4/22/2014,8.63,0.18
451550,LC20140415,4/23/2014,8.63,0.04
451551,LC20140415,4/21/2014,8.69,0.12
451552,LC20140415,4/22/2014,8.69,0.13
451553,LC20140415,4/21/2014,9.12,0.17
451556,LC20140415,4/21/2014,9.26,1.04
451557,LC20140415,4/22/2014,9.26,0.44
451558,LC20140415,4/23/2014,9.26,0.35
451561,LC20140415,4/21/2014,9.6,0.55
451562,LC20140415,4/22/2014,9.6,0.17
451563,LC20140415,4/23/2014,9.6,0.07
451564,LC20140415,4/16/2014,13.56,0.54
451565,LC20140415,4/17/2014,13.56,0.14
451566,LC20140415,4/18/2014,13.56,0.85
451567,LC20140415,4/16/2014,13.48,0.51
451568,LC20140415,4/17/2014,13.48,1.08
451575,LC20140415,4/16/2014,13.17,0.09
