Sample,Length,Month,Year,RKM
451193,289,4,2014,4.6
451193,307,4,2014,4.6
451194,205,4,2014,4.6
451195,100,4,2014,4.6
451195,101,4,2014,4.6
451196,325,4,2014,4.48
451196,103,4,2014,4.48
451200,310,4,2014,4.44
451200,105,4,2014,4.44
451202,219,4,2014,4.23
451202,264,4,2014,4.23
451202,204,4,2014,4.23
451202,254,4,2014,4.23
451202,174,4,2014,4.23
451204,243,4,2014,4.23
451205,203,4,2014,4.15
451205,115,4,2014,4.15
451205,103,4,2014,4.15
451207,200,4,2014,4.15
451209,110,4,2014,4.1
451213,115,4,2014,4
451214,154,4,2014,3.78
451214,205,4,2014,3.78
451214,194,4,2014,3.78
451214,109,4,2014,3.78
451214,179,4,2014,3.78
451214,106,4,2014,3.78
451215,105,4,2014,3.78
451216,106,4,2014,3.78
451217,219,4,2014,3.81
451219,165,4,2014,3.81
451221,218,4,2014,3.79
451223,299,4,2014,3.42
451223,209,4,2014,3.42
451223,170,4,2014,3.42
451223,179,4,2014,3.42
451223,214,4,2014,3.42
451223,179,4,2014,3.42
451223,180,4,2014,3.42
451224,180,4,2014,3.42
451224,185,4,2014,3.42
451225,105,4,2014,3.42
451225,104,4,2014,3.42
451226,109,4,2014,3.33
451229,182,4,2014,3.19
451230,114,4,2014,3.19
451232,281,4,2014,3.16
451232,115,4,2014,3.16
451234,124,4,2014,3.16
451234,114,4,2014,3.16
451235,329,4,2014,3.13
451235,398,4,2014,3.13
451235,267,4,2014,3.13
451236,205,4,2014,3.13
451238,173,4,2014,3.1
451239,133,4,2014,3.1
451245,185,4,2014,2.98
451245,112,4,2014,2.98
451247,330,4,2014,2.94
451247,257,4,2014,2.94
451247,228,4,2014,2.94
451247,238,4,2014,2.94
451247,125,4,2014,2.94
451247,97,4,2014,2.94
451248,418,4,2014,2.94
451248,274,4,2014,2.94
451248,257,4,2014,2.94
451248,277,4,2014,2.94
451248,295,4,2014,2.94
451248,152,4,2014,2.94
451251,309,4,2014,2.92
451251,281,4,2014,2.92
451251,250,4,2014,2.92
451251,340,4,2014,2.92
451251,296,4,2014,2.92
451251,265,4,2014,2.92
451251,235,4,2014,2.92
451253,327,4,2014,12.23
451253,278,4,2014,12.23
451254,318,4,2014,12.12
451254,330,4,2014,12.12
451254,282,4,2014,12.12
451254,262,4,2014,12.12
451254,256,4,2014,12.12
451254,250,4,2014,12.12
451254,189,4,2014,12.12
451254,252,4,2014,12.12
451254,304,4,2014,12.12
451254,175,4,2014,12.12
451254,188,4,2014,12.12
451254,152,4,2014,12.12
451254,150,4,2014,12.12
451254,148,4,2014,12.12
451254,173,4,2014,12.12
451254,145,4,2014,12.12
451254,152,4,2014,12.12
451254,224,4,2014,12.12
451254,158,4,2014,12.12
451254,165,4,2014,12.12
451254,170,4,2014,12.12
451254,158,4,2014,12.12
451254,165,4,2014,12.12
451254,194,4,2014,12.12
451255,292,4,2014,12.12
451256,257,4,2014,12.12
451256,159,4,2014,12.12
451256,160,4,2014,12.12
451256,155,4,2014,12.12
451257,300,4,2014,12.1
451257,164,4,2014,12.1
451257,168,4,2014,12.1
451258,138,4,2014,12.1
451260,293,4,2014,2.86
451260,229,4,2014,2.86
451260,98,4,2014,2.86
451261,131,4,2014,2.86
451261,109,4,2014,2.86
451261,105,4,2014,2.86
451261,110,4,2014,2.86
451261,252,4,2014,2.86
451262,292,4,2014,2.86
451262,278,4,2014,2.86
451262,252,4,2014,2.86
451263,108,4,2014,2.85
451266,323,4,2014,2.83
451266,320,4,2014,2.83
451266,207,4,2014,2.83
451267,314,4,2014,2.54
451267,215,4,2014,2.54
451267,283,4,2014,2.54
451267,253,4,2014,2.54
451267,185,4,2014,2.54
451267,187,4,2014,2.54
451267,125,4,2014,2.54
451267,110,4,2014,2.54
451268,87,4,2014,2.51
451269,107,4,2014,2.51
451269,210,4,2014,2.51
451269,297,4,2014,2.51
451269,280,4,2014,2.51
451269,254,4,2014,2.51
451269,260,4,2014,2.51
451269,317,4,2014,2.51
451269,165,4,2014,2.51
451269,190,4,2014,2.51
451270,390,4,2014,2.51
451271,107,4,2014,2.48
451271,107,4,2014,2.48
451272,112,4,2014,2.48
451273,301,4,2014,2.48
451273,285,4,2014,2.48
451273,113,4,2014,2.48
451274,272,4,2014,2.4
451275,323,4,2014,2.4
451276,280,4,2014,2.3
451276,245,4,2014,2.3
451278,117,4,2014,2.3
451279,302,4,2014,2.1
451280,312,4,2014,2.1
451280,165,4,2014,2.1
451280,144,4,2014,2.1
451280,125,4,2014,2.1
451280,111,4,2014,2.1
451280,107,4,2014,2.1
451280,153,4,2014,2.1
451281,314,4,2014,2.15
451281,280,4,2014,2.15
451281,104,4,2014,2.15
451283,204,4,2014,2.15
451283,215,4,2014,2.15
451283,186,4,2014,2.15
451283,104,4,2014,2.15
451286,202,4,2014,2.1
451286,106,4,2014,2.1
451286,92,4,2014,2.1
451287,108,4,2014,2.05
451287,100,4,2014,2.05
451288,172,4,2014,2.02
451290,364,4,2014,1.91
451290,106,4,2014,1.91
451291,136,4,2014,1.91
451295,280,4,2014,1.56
451295,282,4,2014,1.56
451295,169,4,2014,1.56
451295,74,4,2014,1.56
451295,118,4,2014,1.56
451296,247,4,2014,1.56
451296,202,4,2014,1.56
451296,247,4,2014,1.56
451297,225,4,2014,1.5
451299,115,4,2014,1.5
451299,104,4,2014,1.5
451299,117,4,2014,1.5
451302,285,4,2014,1.19
451302,288,4,2014,1.19
451302,303,4,2014,1.19
451302,190,4,2014,1.19
451302,152,4,2014,1.19
451302,123,4,2014,1.19
451304,246,4,2014,1.19
451304,270,4,2014,1.19
