"Plot Title: Blue-3_06-24-2016"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10641662, SEN S/N: 10641662)","Intensity, Lux (LGR S/N: 10641662, SEN S/N: 10641662)","Coupler Attached (LGR S/N: 10641662, SEN S/N: 10641662)","Host Connected (LGR S/N: 10641662, SEN S/N: 10641662)","Stopped (LGR S/N: 10641662, SEN S/N: 10641662)","End Of File (LGR S/N: 10641662, SEN S/N: 10641662)"
1,06/24/16 08:00:00 AM,30.054,32.3,,,,
2,06/24/16 08:05:00 AM,29.752,0.0,,,,
3,06/24/16 08:10:00 AM,29.953,0.0,,,,
4,06/24/16 08:15:00 AM,29.953,0.0,,,,
5,06/24/16 08:20:00 AM,29.853,0.0,,,,
6,06/24/16 08:25:00 AM,30.054,10.8,,,,
7,06/24/16 08:30:00 AM,30.054,21.5,,,,
8,06/24/16 08:35:00 AM,30.255,2669.5,,,,
9,06/24/16 08:40:00 AM,31.574,3961.1,,,,
10,06/24/16 08:45:00 AM,32.394,1894.5,,,,
11,06/24/16 08:50:00 AM,33.430,2411.1,,,,
12,06/24/16 08:55:00 AM,34.374,2583.4,,,,
13,06/24/16 09:00:00 AM,35.864,4477.8,,,,
14,06/24/16 09:05:00 AM,37.494,4650.0,,,,
15,06/24/16 09:10:00 AM,39.163,6544.5,,,,
16,06/24/16 09:15:00 AM,40.876,8611.2,,,,
17,06/24/16 09:20:00 AM,40.992,38578.0,,,,
18,06/24/16 09:25:00 AM,42.046,43.1,,,,
19,06/24/16 09:30:00 AM,40.645,0.0,,,,
20,06/24/16 09:35:00 AM,39.729,0.0,,,,
21,06/24/16 09:40:00 AM,38.490,0.0,,,,
22,06/24/16 09:45:00 AM,38.602,0.0,,,,
23,06/24/16 09:50:00 AM,38.602,0.0,,,,
24,06/24/16 09:55:00 AM,38.490,0.0,,,,
25,06/24/16 10:00:00 AM,38.826,0.0,,,,
26,06/24/16 10:05:00 AM,39.163,0.0,,,,
27,06/24/16 10:10:00 AM,39.163,0.0,,,,
28,06/24/16 10:15:00 AM,39.389,0.0,,,,
29,06/24/16 10:20:00 AM,38.938,0.0,,,,
30,06/24/16 10:25:00 AM,38.268,0.0,,,,
31,06/24/16 10:30:00 AM,37.935,0.0,,,,
32,06/24/16 10:35:00 AM,37.935,0.0,,,,
33,06/24/16 10:40:00 AM,38.490,0.0,,,,
34,06/24/16 10:45:00 AM,38.490,0.0,,,,
35,06/24/16 10:50:00 AM,37.824,0.0,,,,
36,06/24/16 10:55:00 AM,36.946,0.0,,,,
37,06/24/16 11:00:00 AM,36.403,0.0,,,,
38,06/24/16 11:05:00 AM,36.728,0.0,,,,
39,06/24/16 11:10:00 AM,37.604,0.0,,,,
40,06/24/16 11:15:00 AM,38.046,0.0,,,,
41,06/24/16 11:20:00 AM,38.268,0.0,,,,
42,06/24/16 11:25:00 AM,38.379,0.0,,,,
43,06/24/16 11:30:00 AM,38.268,0.0,,,,
44,06/24/16 11:35:00 AM,38.268,0.0,,,,
45,06/24/16 11:40:00 AM,38.157,0.0,,,,
46,06/24/16 11:45:00 AM,38.490,0.0,,,,
47,06/24/16 11:50:00 AM,39.163,0.0,,,,
48,06/24/16 11:55:00 AM,39.276,0.0,,,,
49,06/24/16 12:00:00 PM,39.276,0.0,,,,
50,06/24/16 12:05:00 PM,38.602,0.0,,,,
51,06/24/16 12:10:00 PM,38.157,0.0,,,,
