"Plot Title: Chute-4_06-24-2016"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10643645, SEN S/N: 10643645)","Intensity, Lux (LGR S/N: 10643645, SEN S/N: 10643645)","Coupler Attached (LGR S/N: 10643645, SEN S/N: 10643645)","Host Connected (LGR S/N: 10643645, SEN S/N: 10643645)","Stopped (LGR S/N: 10643645, SEN S/N: 10643645)","End Of File (LGR S/N: 10643645, SEN S/N: 10643645)"
1,06/24/16 08:00:00 AM,27.272,193.8,,,,
2,06/24/16 08:05:00 AM,27.370,64.6,,,,
3,06/24/16 08:10:00 AM,27.468,0.0,,,,
4,06/24/16 08:15:00 AM,27.468,0.0,,,,
5,06/24/16 08:20:00 AM,27.468,0.0,,,,
6,06/24/16 08:25:00 AM,27.370,21.5,,,,
7,06/24/16 08:30:00 AM,27.370,129.2,,,,
8,06/24/16 08:35:00 AM,28.357,4133.4,,,,
9,06/24/16 08:40:00 AM,30.255,5511.1,,,,
10,06/24/16 08:45:00 AM,31.370,139.9,,,,
11,06/24/16 08:50:00 AM,31.676,333.7,,,,
12,06/24/16 08:55:00 AM,31.778,452.1,,,,
13,06/24/16 09:00:00 AM,32.086,398.3,,,,
14,06/24/16 09:05:00 AM,32.600,376.7,,,,
15,06/24/16 09:10:00 AM,33.118,419.8,,,,
16,06/24/16 09:15:00 AM,33.743,3961.1,,,,
17,06/24/16 09:20:00 AM,36.403,1377.8,,,,
18,06/24/16 09:25:00 AM,37.935,1894.5,,,,
19,06/24/16 09:30:00 AM,37.824,0.0,,,,
20,06/24/16 09:35:00 AM,38.157,0.0,,,,
21,06/24/16 09:40:00 AM,37.935,0.0,,,,
22,06/24/16 09:45:00 AM,37.935,0.0,,,,
23,06/24/16 09:50:00 AM,37.935,0.0,,,,
24,06/24/16 09:55:00 AM,37.824,0.0,,,,
25,06/24/16 10:00:00 AM,37.604,0.0,,,,
26,06/24/16 10:05:00 AM,37.604,0.0,,,,
27,06/24/16 10:10:00 AM,37.604,0.0,,,,
28,06/24/16 10:15:00 AM,37.604,0.0,,,,
29,06/24/16 10:20:00 AM,37.604,0.0,,,,
30,06/24/16 10:25:00 AM,37.494,0.0,,,,
31,06/24/16 10:30:00 AM,37.165,0.0,,,,
32,06/24/16 10:35:00 AM,37.165,0.0,,,,
33,06/24/16 10:40:00 AM,37.055,0.0,,,,
34,06/24/16 10:45:00 AM,37.165,0.0,,,,
35,06/24/16 10:50:00 AM,37.055,0.0,,,,
36,06/24/16 10:55:00 AM,36.837,0.0,,,,
37,06/24/16 11:00:00 AM,36.620,0.0,,,,
38,06/24/16 11:05:00 AM,36.511,0.0,,,,
39,06/24/16 11:10:00 AM,36.511,0.0,,,,
40,06/24/16 11:15:00 AM,36.620,0.0,,,,
41,06/24/16 11:20:00 AM,36.837,0.0,,,,
42,06/24/16 11:25:00 AM,36.946,0.0,,,,
43,06/24/16 11:30:00 AM,36.946,0.0,,,,
44,06/24/16 11:35:00 AM,36.946,0.0,,,,
45,06/24/16 11:40:00 AM,36.946,0.0,,,,
46,06/24/16 11:45:00 AM,36.946,0.0,,,,
47,06/24/16 11:50:00 AM,37.494,0.0,,,,
48,06/24/16 11:55:00 AM,37.714,0.0,,,,
49,06/24/16 12:00:00 PM,37.714,0.0,,,,
50,06/24/16 12:05:00 PM,37.494,0.0,,,,
51,06/24/16 12:10:00 PM,37.055,0.0,,,,
52,06/24/16 12:15:00 PM,36.511,0.0,,,,
53,06/24/16 12:20:00 PM,35.971,0.0,,,,
