"Plot Title: Chute2014-04-15"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 10395000, SEN S/N: 10395000)","Full Range, μS/cm (LGR S/N: 10395000, SEN S/N: 10395000)","Temp, °C (LGR S/N: 10395000, SEN S/N: 10395000)","Started (LGR S/N: 10395000, SEN S/N: 10395000)","Coupler Attached (LGR S/N: 10395000, SEN S/N: 10395000)","Host Connected (LGR S/N: 10395000, SEN S/N: 10395000)","Stopped (LGR S/N: 10395000, SEN S/N: 10395000)","End Of File (LGR S/N: 10395000, SEN S/N: 10395000)"
1,04/15/14 11:00:00 AM,3.2,8.7,11.07,Logged,,,,
2,04/15/14 11:15:00 AM,3.2,8.7,11.09,,,,,
3,04/15/14 11:30:00 AM,3.2,8.7,11.34,,,,,
4,04/15/14 11:45:00 AM,3.3,8.7,12.04,,,,,
5,04/15/14 12:00:00 PM,5.0,6.3,15.65,,,,,
6,04/15/14 12:15:00 PM,4.6,8.6,24.51,,,,,
7,04/15/14 12:30:00 PM,3.3,8.5,30.90,,,,,
8,04/15/14 12:45:00 PM,3.3,8.5,33.74,,,,,
9,04/15/14 01:00:00 PM,3.3,8.5,30.67,,,,,
10,04/15/14 01:15:00 PM,3.3,6.3,29.35,,,,,
11,04/15/14 01:30:00 PM,3.2,8.6,28.86,,,,,
12,04/15/14 01:45:00 PM,2.8,8.6,28.45,,,,,
13,04/15/14 02:00:00 PM,3.3,8.6,28.45,,,,,
14,04/15/14 02:15:00 PM,3.3,8.6,28.51,,,,,
15,04/15/14 02:30:00 PM,3.3,8.6,28.53,,,,,
16,04/15/14 02:45:00 PM,3.3,19.6,28.76,,,,,
17,04/15/14 03:00:00 PM,3.3,8.6,28.34,,,,,
18,04/15/14 03:15:00 PM,3.3,8.6,27.79,,,,,
19,04/15/14 03:30:00 PM,3.3,6.3,27.31,,,,,
20,04/15/14 03:45:00 PM,3.3,8.6,27.13,,,,,
21,04/15/14 04:00:00 PM,3.3,8.6,27.28,,,,,
22,04/15/14 04:15:00 PM,3.2,8.6,27.01,,,,,
23,04/15/14 04:30:00 PM,3.3,8.6,26.56,,,,,
24,04/15/14 04:45:00 PM,3.3,8.6,26.08,,,,,
25,04/15/14 05:00:00 PM,3.2,8.6,25.82,,,,,
26,04/15/14 05:15:00 PM,4.6,8.6,25.49,,,,,
27,04/15/14 05:30:00 PM,3.2,8.6,24.93,,,,,
28,04/15/14 05:45:00 PM,2403.0,4487.0,21.05,,,,,
29,04/15/14 06:00:00 PM,2403.3,4477.6,20.96,,,,,
30,04/15/14 06:15:00 PM,2403.5,4472.5,20.91,,,,,
31,04/15/14 06:30:00 PM,2403.6,4471.3,20.87,,,,,
32,04/15/14 06:45:00 PM,2403.8,4467.2,20.81,,,,,
33,04/15/14 07:00:00 PM,2404.0,4461.2,20.75,,,,,
34,04/15/14 07:15:00 PM,2404.3,4455.7,20.69,,,,,
35,04/15/14 07:30:00 PM,2404.5,4448.4,20.61,,,,,
36,04/15/14 07:45:00 PM,2404.9,4440.1,20.49,,,,,
37,04/15/14 08:00:00 PM,2405.3,4431.1,20.40,,,,,
38,04/15/14 08:15:00 PM,2405.5,4424.3,20.32,,,,,
39,04/15/14 08:30:00 PM,2406.0,4414.7,20.19,,,,,
40,04/15/14 08:45:00 PM,2406.3,4407.0,20.11,,,,,
41,04/15/14 09:00:00 PM,2406.4,4405.3,20.09,,,,,
42,04/15/14 09:15:00 PM,2406.4,4404.0,20.09,,,,,
43,04/15/14 09:30:00 PM,2406.6,4398.1,20.01,,,,,
44,04/15/14 09:45:00 PM,2406.6,4399.0,20.02,,,,,
45,04/15/14 10:00:00 PM,2406.7,4395.1,19.98,,,,,
46,04/15/14 10:15:00 PM,2406.7,4395.6,19.98,,,,,
47,04/15/14 10:30:00 PM,2406.8,4392.1,19.95,,,,,
48,04/15/14 10:45:00 PM,2406.9,4391.3,19.93,,,,,
49,04/15/14 11:00:00 PM,2406.9,4391.4,19.92,,,,,
50,04/15/14 11:15:00 PM,2407.1,4387.2,19.86,,,,,
51,04/15/14 11:30:00 PM,2407.1,4387.1,19.88,,,,,
52,04/15/14 11:45:00 PM,2407.1,4384.5,19.86,,,,,
53,04/16/14 12:00:00 AM,2407.3,4380.3,19.81,,,,,
54,04/16/14 12:15:00 AM,2407.5,4377.8,19.76,,,,,
55,04/16/14 12:30:00 AM,2407.6,4376.2,19.73,,,,,
56,04/16/14 12:45:00 AM,2407.6,4374.9,19.72,,,,,
57,04/16/14 01:00:00 AM,2407.6,4372.6,19.72,,,,,
58,04/16/14 01:15:00 AM,2407.7,4372.3,19.69,,,,,
59,04/16/14 01:30:00 AM,2407.8,4369.3,19.67,,,,,
60,04/16/14 01:45:00 AM,2407.9,4365.4,19.64,,,,,
61,04/16/14 02:00:00 AM,2408.0,4365.5,19.61,,,,,
62,04/16/14 02:15:00 AM,2408.1,4361.7,19.57,,,,,
63,04/16/14 02:30:00 AM,2408.2,4361.3,19.56,,,,,
64,04/16/14 02:45:00 AM,2408.3,4358.7,19.54,,,,,
65,04/16/14 03:00:00 AM,2408.4,4354.5,19.50,,,,,
66,04/16/14 03:15:00 AM,2408.5,4353.2,19.47,,,,,
67,04/16/14 03:30:00 AM,2408.6,4348.9,19.43,,,,,
68,04/16/14 03:45:00 AM,2408.7,4347.7,19.40,,,,,
69,04/16/14 04:00:00 AM,2408.8,4345.2,19.38,,,,,
70,04/16/14 04:15:00 AM,2408.9,4346.1,19.37,,,,,
71,04/16/14 04:30:00 AM,2409.1,4337.9,19.30,,,,,
72,04/16/14 04:45:00 AM,2409.2,4337.6,19.27,,,,,
73,04/16/14 05:00:00 AM,2409.2,4336.7,19.27,,,,,
74,04/16/14 05:15:00 AM,2409.3,4334.6,19.23,,,,,
75,04/16/14 05:30:00 AM,2409.6,4328.2,19.17,,,,,
