"Plot Title: Chute2015-03-22"
"#","Date Time, GMT-07:00","Full Range, μS/cm (LGR S/N: 10395000, SEN S/N: 10395000)","Temp, °C (LGR S/N: 10395000, SEN S/N: 10395000)","Coupler Detached (LGR S/N: 10395000, SEN S/N: 10395000)","Coupler Attached (LGR S/N: 10395000, SEN S/N: 10395000)","Host Connected (LGR S/N: 10395000, SEN S/N: 10395000)","Stopped (LGR S/N: 10395000, SEN S/N: 10395000)","End Of File (LGR S/N: 10395000, SEN S/N: 10395000)"
1,03/23/15 08:00:00 AM,8.6,15.84,Logged,,,,
2,03/23/15 08:15:00 AM,9.4,16.25,,,,,
3,03/23/15 08:30:00 AM,8.6,16.80,,,,,
4,03/23/15 08:45:00 AM,8.6,17.23,,,,,
5,03/23/15 09:00:00 AM,19.8,17.42,,,,,
6,03/23/15 09:15:00 AM,19.8,17.79,,,,,
7,03/23/15 09:30:00 AM,8.6,18.04,,,,,
8,03/23/15 09:45:00 AM,19.8,18.25,,,,,
9,03/23/15 10:00:00 AM,8.6,18.38,,,,,
10,03/23/15 10:15:00 AM,8.6,18.58,,,,,
11,03/23/15 10:30:00 AM,8.6,18.85,,,,,
12,03/23/15 10:45:00 AM,8.6,19.64,,,,,
13,03/23/15 11:00:00 AM,8.6,21.25,,,,,
14,03/23/15 11:15:00 AM,8.6,22.38,,,,,
15,03/23/15 11:30:00 AM,8.6,23.29,,,,,
16,03/23/15 11:45:00 AM,8.6,23.10,,,,,
17,03/23/15 12:00:00 PM,8.6,22.51,,,,,
18,03/23/15 12:15:00 PM,3511.5,18.88,,,,,
19,03/23/15 12:30:00 PM,3462.1,19.08,,,,,
20,03/23/15 12:45:00 PM,2078.9,19.25,,,,,
21,03/23/15 01:00:00 PM,3440.5,19.37,,,,,
22,03/23/15 01:15:00 PM,3561.4,19.51,,,,,
23,03/23/15 01:30:00 PM,3579.2,19.63,,,,,
24,03/23/15 01:45:00 PM,3584.1,19.63,,,,,
25,03/23/15 02:00:00 PM,3579.6,19.64,,,,,
26,03/23/15 02:15:00 PM,3582.8,19.63,,,,,
27,03/23/15 02:30:00 PM,3591.0,19.69,,,,,
28,03/23/15 02:45:00 PM,3599.6,19.77,,,,,
29,03/23/15 03:00:00 PM,3603.9,19.81,,,,,
30,03/23/15 03:15:00 PM,3596.3,19.84,,,,,
31,03/23/15 03:30:00 PM,3602.0,19.85,,,,,
32,03/23/15 03:45:00 PM,3607.4,19.84,,,,,
33,03/23/15 04:00:00 PM,3600.0,19.92,,,,,
34,03/23/15 04:15:00 PM,3579.9,19.92,,,,,
35,03/23/15 04:30:00 PM,3449.8,19.86,,,,,
36,03/23/15 04:45:00 PM,3527.8,19.77,,,,,
37,03/23/15 05:00:00 PM,3488.5,19.67,,,,,
38,03/23/15 05:15:00 PM,3551.7,19.57,,,,,
39,03/23/15 05:30:00 PM,3523.6,19.47,,,,,
40,03/23/15 05:45:00 PM,3561.7,19.43,,,,,
41,03/23/15 06:00:00 PM,3577.0,19.39,,,,,
42,03/23/15 06:15:00 PM,3358.1,19.34,,,,,
43,03/23/15 06:30:00 PM,3348.8,19.33,,,,,
44,03/23/15 06:45:00 PM,3394.0,19.27,,,,,
45,03/23/15 07:00:00 PM,3516.4,19.23,,,,,
46,03/23/15 07:15:00 PM,3406.7,19.22,,,,,
47,03/23/15 07:30:00 PM,3345.9,19.14,,,,,
48,03/23/15 07:45:00 PM,1189.3,19.05,,,,,
49,03/23/15 08:00:00 PM,2985.0,18.96,,,,,
50,03/23/15 08:15:00 PM,3514.1,18.92,,,,,
51,03/23/15 08:30:00 PM,3354.4,18.76,,,,,
52,03/23/15 08:45:00 PM,3480.1,18.70,,,,,
53,03/23/15 09:00:00 PM,3248.7,18.65,,,,,
54,03/23/15 09:15:00 PM,1309.3,18.59,,,,,
55,03/23/15 09:30:00 PM,3160.9,18.53,,,,,
56,03/23/15 09:45:00 PM,3222.8,18.54,,,,,
57,03/23/15 10:00:00 PM,1951.0,18.51,,,,,
