"Date","Time, GMT-07:00","Temp, °C"
04/15/14,08:00:00,7.293
04/15/14,08:15:00,8.593
04/15/14,08:30:00,9.879
04/15/14,08:45:00,14.002
04/15/14,09:00:00,16.582
04/15/14,09:15:00,16.320
04/15/14,09:30:00,16.511
04/15/14,09:45:00,17.201
04/15/14,10:00:00,18.557
04/15/14,10:15:00,19.627
04/15/14,10:30:00,20.793
04/15/14,10:45:00,21.604
04/15/14,11:00:00,22.537
04/15/14,11:15:00,23.400
04/15/14,11:30:00,24.702
04/15/14,11:45:00,26.695
04/15/14,12:00:00,28.568
04/15/14,12:15:00,29.916
04/15/14,12:30:00,31.077
04/15/14,12:45:00,31.306
04/15/14,13:00:00,31.484
04/15/14,13:15:00,34.045
04/15/14,13:30:00,32.562
04/15/14,13:45:00,31.255
04/15/14,14:00:00,30.849
04/15/14,14:15:00,30.849
04/15/14,14:30:00,30.469
04/15/14,14:45:00,29.165
04/15/14,15:00:00,29.015
04/15/14,15:15:00,28.617
04/15/14,15:30:00,28.419
04/15/14,15:45:00,28.617
04/15/14,16:00:00,28.742
04/15/14,16:15:00,28.493
04/15/14,16:30:00,28.048
04/15/14,16:45:00,27.875
04/15/14,17:00:00,27.628
04/15/14,17:15:00,27.235
04/15/14,17:30:00,26.622
04/15/14,17:45:00,26.207
04/15/14,18:00:00,25.963
04/15/14,18:15:00,25.695
04/15/14,18:30:00,25.283
04/15/14,18:45:00,24.750
04/15/14,19:00:00,24.243
04/15/14,19:15:00,23.665
04/15/14,19:30:00,23.088
04/15/14,19:45:00,22.537
04/15/14,20:00:00,21.963
04/15/14,20:15:00,21.366
04/15/14,20:30:00,20.746
04/15/14,20:45:00,20.126
04/15/14,21:00:00,19.318
04/15/14,21:15:00,18.200
04/15/14,21:30:00,18.033
04/15/14,21:45:00,18.057
04/15/14,22:00:00,17.891
04/15/14,22:15:00,17.653
04/15/14,22:30:00,17.463
04/15/14,22:45:00,17.415
04/15/14,23:00:00,17.486
04/15/14,23:15:00,17.605
04/15/14,23:30:00,17.748
04/15/14,23:45:00,17.843
04/16/14,00:00:00,17.938
04/16/14,00:15:00,17.938
04/16/14,00:30:00,17.843
04/16/14,00:45:00,17.653
04/16/14,01:00:00,17.415
04/16/14,01:15:00,17.153
04/16/14,01:30:00,16.892
04/16/14,01:45:00,16.701
04/16/14,02:00:00,16.630
04/16/14,02:15:00,16.606
04/16/14,02:30:00,16.630
04/16/14,02:45:00,16.701
04/16/14,03:00:00,16.725
04/16/14,03:15:00,16.773
04/16/14,03:30:00,16.820
04/16/14,03:45:00,16.868
04/16/14,04:00:00,16.892
04/16/14,04:15:00,16.892
04/16/14,04:30:00,16.820
04/16/14,04:45:00,16.701
04/16/14,05:00:00,16.534
04/16/14,05:15:00,16.368
04/16/14,05:30:00,16.225
04/16/14,05:45:00,16.058
04/16/14,06:00:00,15.891
04/16/14,06:15:00,15.724
04/16/14,06:30:00,15.557
04/16/14,06:45:00,15.438
04/16/14,07:00:00,15.414
04/16/14,07:15:00,15.414
04/16/14,07:30:00,15.509
04/16/14,07:45:00,15.629
04/16/14,08:00:00,15.772
04/16/14,08:15:00,16.630
04/16/14,08:30:00,17.249
04/16/14,08:45:00,17.391
04/16/14,09:00:00,17.058
04/16/14,09:15:00,17.819
04/16/14,09:30:00,18.628
04/16/14,09:45:00,19.365
04/16/14,10:00:00,20.984
04/16/14,10:15:00,21.246
04/16/14,10:30:00,22.585
04/16/14,10:45:00,18.390
04/16/14,11:00:00,18.485
04/16/14,11:15:00,18.509
04/16/14,11:30:00,18.628
04/16/14,11:45:00,18.699
04/16/14,12:00:00,18.818
04/16/14,12:15:00,19.032
04/16/14,12:30:00,19.246
04/16/14,12:45:00,19.436
04/16/14,13:00:00,19.484
04/16/14,13:15:00,19.532
04/16/14,13:30:00,19.555
04/16/14,13:45:00,19.579
04/16/14,14:00:00,19.627
04/16/14,14:15:00,19.627
04/16/14,14:30:00,19.627
04/16/14,14:45:00,19.579
04/16/14,15:00:00,19.532
04/16/14,15:15:00,19.532
04/16/14,15:30:00,19.627
04/16/14,15:45:00,19.722
04/16/14,16:00:00,19.793
04/16/14,16:15:00,19.770
04/16/14,16:30:00,19.770
04/16/14,16:45:00,19.746
04/16/14,17:00:00,19.770
04/16/14,17:15:00,19.817
04/16/14,17:30:00,19.817
04/16/14,17:45:00,19.817
04/16/14,18:00:00,19.841
04/16/14,18:15:00,19.817
04/16/14,18:30:00,19.793
04/16/14,18:45:00,19.770
04/16/14,19:00:00,19.722
04/16/14,19:15:00,19.651
04/16/14,19:30:00,19.579
04/16/14,19:45:00,19.555
04/16/14,20:00:00,19.532
04/16/14,20:15:00,19.508
04/16/14,20:30:00,19.484
04/16/14,20:45:00,19.460
04/16/14,21:00:00,19.413
