"Date","Time, GMT-07:00","Temp, °C"
04/19/16,07:00:00,18.913
04/19/16,07:15:00,20.031
04/19/16,07:30:00,21.175
04/19/16,07:45:00,22.872
04/19/16,08:00:00,24.363
04/19/16,08:15:00,22.537
04/19/16,08:30:00,20.960
04/19/16,08:45:00,21.939
04/19/16,09:00:00,23.737
04/19/16,09:15:00,24.315
04/19/16,09:30:00,24.436
04/19/16,09:45:00,24.388
04/19/16,10:00:00,22.968
04/19/16,10:15:00,21.772
04/19/16,10:30:00,24.823
04/19/16,10:45:00,19.532
04/19/16,11:00:00,18.794
04/19/16,11:15:00,18.985
04/19/16,11:30:00,19.270
04/19/16,11:45:00,19.484
04/19/16,12:00:00,19.674
04/19/16,12:15:00,19.865
04/19/16,12:30:00,20.007
04/19/16,12:45:00,20.198
04/19/16,13:00:00,20.436
04/19/16,13:15:00,20.746
04/19/16,13:30:00,21.056
04/19/16,13:45:00,21.294
04/19/16,14:00:00,21.509
04/19/16,14:15:00,21.628
04/19/16,14:30:00,21.843
04/19/16,14:45:00,22.058
04/19/16,15:00:00,22.298
04/19/16,15:15:00,22.537
04/19/16,15:30:00,22.753
04/19/16,15:45:00,22.872
04/19/16,16:00:00,22.944
04/19/16,16:15:00,22.944
04/19/16,16:30:00,22.968
04/19/16,16:45:00,22.992
04/19/16,17:00:00,22.992
04/19/16,17:15:00,22.968
04/19/16,17:30:00,22.920
04/19/16,17:45:00,22.872
04/19/16,18:00:00,22.800
04/19/16,18:15:00,22.705
04/19/16,18:30:00,22.585
04/19/16,18:45:00,22.417
04/19/16,19:00:00,22.202
04/19/16,19:15:00,21.963
04/19/16,19:30:00,21.724
04/19/16,19:45:00,21.533
04/19/16,20:00:00,21.342
04/19/16,20:15:00,21.175
04/19/16,20:30:00,21.056
04/19/16,20:45:00,20.960
04/19/16,21:00:00,20.865
04/19/16,21:15:00,20.746
04/19/16,21:30:00,20.627
04/19/16,21:45:00,20.507
04/19/16,22:00:00,20.412
04/19/16,22:15:00,20.317
04/19/16,22:30:00,20.222
04/19/16,22:45:00,20.055
04/19/16,23:00:00,19.888
04/19/16,23:15:00,19.770
04/19/16,23:30:00,19.674
04/19/16,23:45:00,19.603
04/20/16,00:00:00,19.532
04/20/16,00:15:00,19.460
04/20/16,00:30:00,19.389
04/20/16,00:45:00,19.365
04/20/16,01:00:00,19.318
04/20/16,01:15:00,19.222
04/20/16,01:30:00,19.151
04/20/16,01:45:00,19.127
04/20/16,02:00:00,19.103
04/20/16,02:15:00,19.056
04/20/16,02:30:00,19.008
04/20/16,02:45:00,18.961
04/20/16,03:00:00,18.961
04/20/16,03:15:00,18.937
04/20/16,03:30:00,18.913
04/20/16,03:45:00,18.866
04/20/16,04:00:00,18.794
04/20/16,04:15:00,18.723
04/20/16,04:30:00,18.675
04/20/16,04:45:00,18.604
04/20/16,05:00:00,18.557
04/20/16,05:15:00,18.509
04/20/16,05:30:00,18.485
04/20/16,05:45:00,18.438
04/20/16,06:00:00,18.414
04/20/16,06:15:00,18.390
04/20/16,06:30:00,18.343
04/20/16,06:45:00,18.319
04/20/16,07:00:00,18.295
04/20/16,07:15:00,18.295
04/20/16,07:30:00,18.295
04/20/16,07:45:00,18.295
04/20/16,08:00:00,18.343
04/20/16,08:15:00,18.366
04/20/16,08:30:00,18.366
04/20/16,08:45:00,18.390
04/20/16,09:00:00,18.461
04/20/16,09:15:00,18.533
04/20/16,09:30:00,18.675
04/20/16,09:45:00,18.818
04/20/16,10:00:00,18.913
04/20/16,10:15:00,19.032
04/20/16,10:30:00,19.080
04/20/16,10:45:00,19.151
04/20/16,11:00:00,19.318
04/20/16,11:15:00,19.555
04/20/16,11:30:00,19.817
04/20/16,11:45:00,20.007
04/20/16,12:00:00,20.150
04/20/16,12:15:00,20.317
04/20/16,12:30:00,20.484
04/20/16,12:45:00,20.650
04/20/16,13:00:00,20.841
04/20/16,13:15:00,21.127
04/20/16,13:30:00,21.390
04/20/16,13:45:00,21.676
04/20/16,14:00:00,21.843
04/20/16,14:15:00,21.915
04/20/16,14:30:00,22.034
04/20/16,14:45:00,22.226
04/20/16,15:00:00,22.465
04/20/16,15:15:00,22.657
04/20/16,15:30:00,22.872
04/20/16,15:45:00,22.920
04/20/16,16:00:00,22.920
04/20/16,16:15:00,22.896
04/20/16,16:30:00,22.920
04/20/16,16:45:00,22.968
04/20/16,17:00:00,23.064
04/20/16,17:15:00,23.088
04/20/16,17:30:00,22.992
04/20/16,17:45:00,22.848
04/20/16,18:00:00,22.705
04/20/16,18:15:00,22.537
04/20/16,18:30:00,22.321
04/20/16,18:45:00,22.130
04/20/16,19:00:00,21.915
04/20/16,19:15:00,21.700
04/20/16,19:30:00,21.485
04/20/16,19:45:00,21.318
04/20/16,20:00:00,21.151
04/20/16,20:15:00,21.032
04/20/16,20:30:00,20.984
04/20/16,20:45:00,20.936
04/20/16,21:00:00,20.889
04/20/16,21:15:00,20.793
04/20/16,21:30:00,20.698
04/20/16,21:45:00,20.579
04/20/16,22:00:00,20.460
04/20/16,22:15:00,20.388
04/20/16,22:30:00,20.317
04/20/16,22:45:00,20.222
04/20/16,23:00:00,20.079
04/20/16,23:15:00,19.960
04/20/16,23:30:00,19.912
04/20/16,23:45:00,19.841
04/21/16,00:00:00,19.770
04/21/16,00:15:00,19.698
04/21/16,00:30:00,19.651
